ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_N_Los
-284.2361164370607,803985.9237227318,615232.6623585032,73714.7888116157,15899.45712206806,11173.267695018832,28775.780920866684,30723.933066658465,2386.208013127392,2876.251900749175,2745.939773809784,0.0265617186304196
-313.7974511684937,852041.314141335,582556.3672231942,56707.46085907524,15130.58746680393,15420.336546892033,30429.08364294802,44022.35501436883,1973.2166140786524,2824.3880988881765,2731.6012137748207,0.0230933741499193
-356.2702473032441,792177.9341863961,570704.4342348868,63714.24640459319,16378.681517573874,13228.574822597218,29141.015812593152,34017.938805081394,1896.005278975824,2707.6972085447774,2688.38182911927,0.0306285853493534
-275.0394534418781,765692.0174390387,678366.3243004556,59294.09540331776,16636.770760110587,5397.340758616969,28691.14622738632,26497.978599447782,1871.1906156452724,3015.3575078391696,2916.748349125926,0.0142864767287088
-199.28796847061164,815502.7703479379,669611.9319433221,79345.91619413768,15986.687176486414,8316.97153811469,29085.598218750063,34255.25747839188,2604.633776095084,2935.159463439674,2873.442773379243,0.0178134290614705
-323.22919263717904,755001.2155559795,616956.2669684441,50000.000000121065,16581.183895078462,8507.36609853176,28573.0137435424,42291.45313455175,1592.1600008757332,2794.453905408746,2837.596588861395,0.0196785886060563
-340.48087596526614,793465.0458254933,605186.8165324229,70316.27850083783,16161.779487730731,11067.146077340763,28647.77517917228,64807.62039577484,2401.610999735498,2757.6504229101715,2775.684888283869,0.0370333634896116
-351.75354684254063,794164.9947750152,662267.4433794771,50000.0000001518,16026.73421304384,7926.400191402653,29675.570567429324,48046.71833662806,1592.2699601537752,2921.907995557956,2938.1227912022364,0.0235029307893546
-608.484448295721,782682.5739556015,661819.9244972079,50000.00424979777,15987.802992654484,7513.919170032422,30268.16123164345,37472.321928558566,1509.2372332867917,3030.61279050841,2923.4893144344096,0.0251874165439392
-368.1694778946815,799978.7258088979,629954.2002295725,70955.3739178665,16143.23968263378,10517.598943243322,28677.48466924916,38526.93336207022,2332.5208196649933,2835.997897683677,2756.4777089957647,0.029111092277151
-344.08761679148114,794070.1864364635,613018.9828810649,56059.30884369217,16046.0874348269,10702.979580807258,29921.853118584702,40198.10770474013,1894.9959173783925,2794.070073052881,2754.7583212201544,0.0239002835755963
-424.3522979130501,783350.2162969834,692718.4140206664,63361.21870223166,16218.836531780446,5124.6103416244105,29379.833610010926,28361.002722629444,2152.493439247972,3054.503322986073,2982.2080597347235,0.0235683481083451
-290.6930740298649,777893.3281529453,591830.5618849816,57407.93279142117,16395.194839598957,11502.39112337434,28255.089369334677,53435.38352288509,1942.6704702802992,2780.5648481710127,2724.0273858292912,0.0387526601858272
-252.75190939091584,782024.7217567345,690165.6506080297,54348.164965349584,16216.45997163447,5752.075728865785,29549.49160015584,31667.128999677523,1746.522270058106,3072.220509773277,2951.8167473016406,0.0227336674102133
-362.06236483333134,780499.4812814917,674078.258448048,64488.73395803727,16346.614611286888,6378.919014771726,29057.39320843322,31686.321640886683,2182.693275515457,2907.5660453540945,2950.675205048936,0.0309065063137669
-525.0172089282871,748768.9496106352,608350.6389649143,61820.87269945116,16880.975177846285,8267.029493065009,28260.515648270088,63651.17891137521,2188.757079132749,2817.8355646029127,2859.696119685116,0.0205804254498174
-189.78815977662663,795941.5751266506,591714.0526983793,50647.780239322514,15993.70862441344,12954.542136939048,29399.232292448218,35398.55759986523,1638.7309497441015,2795.8150680468743,2755.9439579614173,0.0288807396126248
-286.1935509696791,785382.4764802599,685866.2959967168,50000.000000092106,16216.208850561496,5997.431344038072,29982.862460245546,24336.186901888632,1575.7138150800365,2914.403766240089,2996.511906170765,0.036754519466606
-413.1030566555448,756112.3124272556,685973.7989036393,72274.97620492803,16704.191841462853,4126.600616962378,27737.009123292715,62619.71257254106,2272.2879143601645,3033.725699721759,2938.5081527321704,0.0219382458232435
-398.8102158634748,808948.3029621849,624141.373958389,70058.39449125878,16070.020934696038,10970.394983923396,28733.27233784117,56507.50787635174,2465.615654517388,2989.6588999278183,2854.775002954804,0.0242266306507135
-227.6148554509008,787132.619627365,684319.0297535871,68349.76008625788,16158.710427001051,5827.868913150135,28962.075043169032,38746.08705837194,2239.928988397396,3084.28508966816,2974.114914817887,0.0239384484548023
-232.8008640408713,788688.0621899093,637632.8196174173,61082.81161348012,16399.17375139427,9308.336216445408,28124.39823876714,92552.29244144482,2086.9336217800733,2740.445059678372,2948.77678333868,0.021546275543351
