ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-31.499190080288063,806401.5275049788,671042.9174495151,60815.661992005415,15962.34769512231,7532.411968360135,29692.07438520046,27883.9777469223,2096.550690205967,2345.382214240732,2958.4369491636216,0.0082875677389372,0.0643657272292931,0.0150852806652883
-28.84791541350186,791196.1025978625,684488.7598880016,50000.00000078622,16101.32779737156,5710.40161605364,30638.816875254277,26116.65643606892,1517.2792469771246,2654.4359573133447,2937.209854390136,0.0263378134939643,0.0383974287729901,0.024583571618944
-45.7139359518256,813014.9824838303,717410.0819714187,60014.80338670632,15936.253601160395,4208.071116140585,29157.697551970217,145308.23332141878,2042.962941963876,2311.344082776113,2975.85540460415,0.0257852927731806,0.0654610392809735,0.0282429664639832
-28.94647249653451,814865.8987788805,701581.1324644253,59280.58193850239,15651.289534614192,5451.190950681668,31546.890589065308,28506.82308479752,2110.636663182238,2494.987543171901,2934.4144784719274,0.0211506742289293,0.0566696229807177,0.0182863649306023
-31.77466658816305,851850.7180150221,730185.5029520825,62942.69333092086,14940.252915541432,5677.747396484311,31601.312350346576,31816.422497864176,2153.435753884142,2404.07422658846,3139.313242698933,0.0180183589509368,0.0614005279730059,0.0247224356500859
-43.23372117836162,812531.0271609249,725680.8095094237,60436.55537695411,15651.544821725469,4091.712592213992,30962.35627095893,53294.01966843983,2037.2394431470575,2492.759937898757,3004.6072694292798,0.0259952956573339,0.0442670944346549,0.0205745711806112
-35.405267179227565,825169.7424244279,695952.3967830458,58626.13209241082,15505.624488957124,5904.999052478291,31016.87695480668,27782.168063742083,1924.52000636383,2459.041004397327,3001.478943192621,0.0289728946578581,0.0459511573662015,0.021117936659131
-38.67423152089365,798600.0303031219,688273.8743284568,71691.74658443536,16065.12070531998,5336.547062022257,28768.728493408104,52608.02230429791,2435.686070079535,2650.738571571921,3006.567935020485,0.0236959219982859,0.0307920548831544,0.0232178358891018
-34.22288007802791,798338.0134453829,710002.3648319732,50000.00000000071,15827.147257435963,4549.646199038563,31042.82328621042,31779.01099790484,1515.746094398379,2748.4639509648973,2993.317106272024,0.0218656720542556,0.0263039386751785,0.0180086331662653
-32.089021358918146,799193.6830775279,730655.8790615592,73981.4276166993,15965.104010635792,3477.4693960833997,28972.140453485576,52100.103575156754,2347.2515663384943,2660.317685964303,3034.18342838121,0.0209260267088318,0.0388523980436472,0.0255937584959542
-23.67212689928624,804951.7353892584,713889.8560704887,56316.20740636113,15725.986347510923,4837.205025369095,30214.630732169782,25899.26966066698,1957.516463753991,2613.428133254817,2918.4390209566814,0.0173405719602947,0.0377482608985135,0.0168113039719599
-22.770320058150915,834102.4864932938,724238.7507226204,56439.06682848359,15485.25570841566,5097.519393919857,30599.955005903357,26018.41457364362,1894.46212159172,2387.269734598081,3042.1865780223625,0.0146695407909665,0.0640680599734522,0.0175986455802966
-22.441795577079283,849327.841315437,763411.4074209161,50727.341449781874,15196.64950037716,3901.1970180721946,31650.648389467337,35810.44070089131,1529.5786367953044,2499.4565280289057,3104.8938053960755,0.0199325014181031,0.0561163123063398,0.0253979169927628
-25.11614296473228,815188.9849575865,725131.3878248667,59067.61885480931,15765.721208695337,4696.02734032627,29727.58066623207,37496.707071407945,1976.7974050556916,2562.335059182495,3084.664620931123,0.0135337920847529,0.0354565524021541,0.0259939371277852
-46.219934560239466,832612.2202469391,708782.8938353723,66739.04247864749,15216.243040078742,5723.572674431229,30778.94244452908,38999.8414275269,2241.756767642953,2684.4183258070325,3027.746706222547,0.0305761671414121,0.0288851413869266,0.0140071793141027
