ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den
-619.6557336281865,799156.0060964635,682279.7874968406,51650.064284403416,15937.36490060981,6609.4221257089885,31076.193476896344,44674.978039080495,1757.0441496770247,2940.3182266515328,2934.8960644115964
-531.1811885905182,804825.4736109487,594059.6904965483,62206.72216256321,15942.897572488058,11838.138762449338,30055.1600437384,33999.4974113438,2182.7820211980384,2804.254265080551,2742.036543547787
-504.0587457993016,771026.1751613667,655845.7124658577,56285.456421233954,16480.45666109856,6866.945490384155,29179.8935235382,28052.152512484758,1940.072312532358,2981.960208661546,2948.9955933916463
-435.26108728036616,766762.7224043168,668694.3510112829,50000.01696559954,16393.820783782325,5951.13929643991,30073.79486222052,32538.48005450204,1516.042444930083,3008.15121654262,2841.3647278872304
-631.9526626085033,767327.1921145776,698463.1174957477,95864.9310574844,16614.43845150584,4320.9365183396485,27219.8875980556,73500.55406696259,3280.89224517652,3162.993402704639,2897.2106462935426
-369.3813849949803,775966.7978764304,683382.1407603871,63817.15811298313,16252.320524040528,6093.508274838074,29178.02110543601,30245.54086028431,2214.795210074991,3031.4525189327164,2883.167239265445
-622.0390250079872,801760.6922369289,670686.2980790067,50000.21450801346,15847.890803714432,7575.077885382394,30675.81383503916,19339.342906445723,1641.6692123172218,2894.6312948427585,2889.050372696031
-814.4604331049865,851895.4008736489,734461.0941578193,65131.56075868648,14925.422454975322,6232.874167339827,32035.740373685865,48756.79535217671,2148.48894819721,3187.2848804626155,3056.9978200812834
-562.4555566692334,777143.2889820604,692416.6899298023,58324.79177191423,16351.16865819203,5134.2318251371125,29114.520997452084,25648.414423662394,2033.8437882064525,2993.3581412514272,3048.4808538573634
-627.9656231303477,805428.659271333,701835.5252387378,80234.48820536135,15828.568131126574,5522.104141736794,28829.975656487044,49129.868047296055,2800.244050574611,3048.410214436521,2979.2661847758386
-594.6819291148962,740832.053089659,645029.3526108284,50000.00059671779,17027.641348593243,6189.66757011833,29298.287240680496,31090.957209759148,1703.034301381516,2975.2501821371293,2931.140266142159
-703.0820281085889,818225.6474090883,581362.9944013698,64578.40246670352,15541.147266597996,13884.759697290594,31356.60508273089,22235.5016624082,2171.2821331687232,2725.468122367597,2676.610698543024
-545.762949556416,734213.7091734182,648164.930043099,59863.02971688137,16863.366472449874,5171.258355726224,29655.36344064178,18059.5264229708,1972.0608966983325,2986.740230059294,2885.788241153008
-713.5498395160589,777337.6998244395,689655.975128579,65273.86257515077,16183.976418781724,4904.089342723984,29597.338848895837,30185.86614983042,2239.188373322352,3069.379405079906,2963.538592074837
-413.9393821167192,734985.1440763396,632306.0380875532,76531.48083679164,17075.56901377694,6313.484859519735,27153.08763305748,34163.25009995058,2617.258958557354,2870.839592462035,2900.5026261754374
-520.7495385112147,784120.3471078165,719978.148888401,55222.16178764397,16015.874987647818,3553.5085519984787,31327.721817785223,31959.79150903335,1724.7356619233208,3117.6188754600544,3049.424227730987
-482.6272653904445,802045.1507971233,595680.4676234267,57142.16776023811,15762.375473495254,12521.845699907815,30747.518612671647,45616.77833008768,2060.796548985324,2773.5777647417126,2716.6716818580803
-710.283952420491,750185.9504654086,662655.8990813191,59534.28147437586,16810.748336610883,5183.218868163476,29383.58043872989,29934.25793839797,1942.567283416549,2988.2148992980706,2946.9517355148696
-692.580597599572,752302.8226819832,666912.9189706491,60211.02845369324,16689.37724560693,5139.833774097274,29230.65180670807,26003.89646975617,1984.885587422712,3040.2679955103004,2891.8244534009705
-556.2434235285052,782144.3585697961,593943.2755739848,54256.20614415377,16033.227939135502,12134.808170366765,31082.57283901603,24295.26755702644,1804.309170089978,2850.1345897957217,2843.6277459017333
-536.8469004023534,770848.7376688942,596405.2406007418,74029.22597650015,16304.562514970974,10703.86550544862,28868.526405009445,33155.732073961444,2803.5612542511526,2882.815296773897,2755.247193080069
-854.0669345035382,808533.966696323,572984.7332310637,51063.76981954327,15510.100204572696,14040.116635852522,31915.3381356075,16829.484737989726,1542.4165811793805,2840.732557207416,2679.0888646790486
-613.5554100205477,809341.4671135342,581466.5254352377,50936.64872431744,15663.96179106219,15723.434365479114,31757.86537199076,21995.009144970845,1668.617151110915,2715.3254304296192,2703.122355669556
-571.8481118349736,796474.1865109849,627284.3967145238,64727.10585466881,16122.228388639049,10208.1518607101,29730.08718202785,37447.35767443592,2386.2452592837185,2947.922705323583,2803.044498718184
-698.9704560053166,808280.613989156,628655.5536644162,57782.49849546306,15667.739735821033,10359.766650300731,30807.701731472927,17433.39724476624,1975.223121533108,2935.001466967015,2763.311557274479
-499.20967973914935,803769.9898863105,689386.779868534,56634.86475140186,15795.108486790425,6236.861181556569,31029.230950635098,21931.528574476444,1933.4667140927927,2887.92530802508,3010.0290699072616
-397.2318156189074,757156.0637008086,669057.9607463927,50000.00002027117,16509.475307031018,5341.834726824255,29728.728610582064,27070.317675697075,1580.7387308460331,3083.178750445161,2918.854380792101
-558.8151488348677,755566.431618023,566632.5716885554,50000.23457037744,16661.71084228366,11777.977257097584,29958.20181714137,18137.938801795684,1818.262132166213,2735.890630394125,2707.6281690959813
-649.6670077566756,780202.8731995902,684601.4368406765,84888.04315461277,16427.57451484839,5573.431522559132,28338.09904636219,31987.731498386565,3155.380420976413,2913.265690784242,2883.4231799387944
-503.134950585207,764882.5837520956,677357.8989531188,59971.9577340652,16779.465232366932,5111.270252857964,28591.590075364693,31188.560751466903,2082.999642140419,3013.837058469787,2968.5427022196186
-379.6879578841505,751239.550967532,670172.3413345059,57670.47105308762,16947.27640725132,5158.141756861216,29104.07786099592,31817.484287867843,2034.651298137965,2962.9049507433565,2947.974295675215
-526.6039707526812,823604.7474018497,618958.0315083276,55122.78398262757,15421.631431428585,12582.9457482427,31421.50070182029,21291.060285106643,1598.9851176769316,2878.674660987798,2834.58884848987
-591.9406168064631,750763.9759518977,602906.7974133784,50000.000000106586,16883.55638842123,8786.455274120299,29381.580476632585,52505.096270694965,1663.6084827190389,2702.9906425265467,2820.020828229482
-670.5228447258144,806472.4389050183,664750.7574052666,72509.16821894348,15675.131883416923,7910.224658790861,31189.620146413665,26727.264126977123,2760.2610974671848,3003.463466632473,2910.603215884372
-475.0589942397366,781887.6114981564,660464.0733065045,84244.97143706305,16230.527107732038,7050.3466103681,28794.32414727641,47294.7427008402,2846.14487634648,3015.7320454688656,2867.7971050185884
-710.2730089832017,747892.6006481672,639161.1759662968,50000.01109992044,16706.612095223016,6223.298567778338,30104.09473698764,18802.287166212715,1702.598029904159,3081.042953111861,2893.703977603537
-532.1323951887821,772614.2016149086,602176.4332623379,54276.43403803787,16272.355116523831,10311.185666468224,29966.69288617105,26128.39695024326,1813.9806563762072,2847.5044201879828,2819.08167998942
-417.4229280262206,789455.8847321905,622351.7693984775,50543.4516418819,16054.149678367326,9852.123939611269,31036.51725922095,23184.648138362427,1618.837775844065,2912.244434208148,2781.6107890991766
-568.1713674996773,794749.8948278669,688213.2455367862,61902.1553487363,16064.238505792342,5770.033845878345,30031.00385131985,23172.524691424507,2160.61337164457,2968.970921665131,2919.9409653492576
-597.5995658372024,774333.126944087,685423.2080131127,58992.890582765074,16334.736821624618,5042.1799812642885,30270.83707559568,28052.521840098256,1936.3080273102096,2981.79955127241,2980.7607208655327
-486.9093392116381,778363.6249457379,533237.4990168742,57968.028377898976,16257.57037908041,16411.226632970083,30526.474935959977,23884.202078956416,1913.83818245599,2687.774783830408,2623.5256423153023
-750.9214110511239,822994.9125914478,682807.9146591645,50000.00749735575,15481.28481712264,7644.054336413777,32618.30564830841,28941.93821362129,1546.8952915072566,2932.1451167783503,2969.671771985422
-530.0750854560617,769370.2279971982,676549.5436523654,55452.32476801054,16353.249459577488,5174.802991791948,30479.33042425816,16159.789156676545,1780.1021300912414,3191.1143740534203,2915.1570359477632
-723.5011223012957,767451.7371670399,665491.6572562384,55448.54656899658,16501.70646581016,5887.666526496069,30642.4054877411,19803.62914000316,1941.8302274879936,3128.184156344385,2907.39214139514
-524.661605454474,790865.255198901,689509.8603211017,63914.98331056396,16033.530011281657,5847.579024735228,29875.512149902344,22073.78364638507,2324.7337573249533,3132.780113245892,2898.3479578367437
-724.1092123958995,776572.4323468206,561621.1793570903,54796.90410766588,16420.0725626719,13047.86737681808,30791.60515662089,21956.514882923188,1923.068574501834,2714.4517167360927,2679.289661507717
-434.09979805874775,780655.3246923493,636304.768233827,80995.36122248086,16312.150428423904,9081.857024978905,28351.13527329789,40810.588856648304,3203.528314681955,2943.651322860135,2782.906553526469
-1001.7433835737032,854909.5955172718,596401.355415738,92586.18861919036,14911.358664021916,15291.685113477532,30649.301573239038,34998.31714952059,3778.047644784591,2906.963363943686,2700.8673392775577
-732.3040816916769,829426.0722148955,630191.5433516477,62426.04340485264,15414.931815984555,11755.271861519956,31138.625160873908,28240.487525319902,2276.003555479913,2806.753564849256,2793.3167131125324
-576.7091502549019,795439.094319657,651560.3970197804,82036.75155320809,15954.873334052896,8734.175967416608,28395.6010173196,33041.349971801246,2887.457334770429,2877.645478463884,2915.822751986435
