ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-34.15791006109804,809795.1832769668,708259.7997528518,59153.81991393592,16050.783395331311,5199.181849458954,29569.622231998997,37278.619734746855,2122.278159101773,2232.972800952137,3031.651208270564,0.1034094080201117,0.01340166149036
-89.63767467152694,827665.2056805578,713541.2085527994,78534.17169737778,15871.55173720222,5614.821468010215,28443.15052908192,85560.0945996745,2538.4937446776385,2094.101162791897,3036.8428151266817,0.0993139913723961,0.0252112458778325
-50.20235544130318,839730.3566418792,658237.5966575241,56534.05718430438,15633.821089351784,8779.642377269623,31024.82477666033,38968.438103116736,1814.7008107299391,2143.996953343737,3028.165310685344,0.0905622337397554,0.027353409340824
-58.08978050008508,837099.3989168098,757713.6561153928,69638.558036467,15636.770731774192,3714.694881553568,29573.49752773268,26879.14768177962,2322.7954718687765,2068.3851966481907,3047.749175521043,0.0931238751556268,0.0179557877419725
-37.15880508773496,816676.8025036859,662622.3530939214,66224.5316812237,15957.384350911349,8578.420435233778,29145.212108141663,30416.82283653716,2321.6775735228152,2153.4049852655667,2951.616526195314,0.0882256160260832,0.0153046836646351
-85.22842663596384,826114.3367795126,699303.1895735099,60267.80203791122,15979.328960425652,6573.975589469965,29638.66654217807,35669.47219984401,1887.838889770601,2063.6146631546258,2980.1029994570977,0.1061976791039148,0.0259997750028251
-80.70249147581205,839988.3562598764,700137.8517853231,77745.615584542,16001.411251338568,6020.814129946966,27560.915100782484,185332.69241322312,2757.4881182683694,1855.104542787275,2974.494163774049,0.137311167940984,0.0283213056723758
-60.8649463526,834603.2994268117,689603.7757233919,66516.6851774879,15697.022639401535,6874.134279885421,30459.177898348924,33409.154137261816,2421.0093966207496,2039.5738696691024,2937.3003438613646,0.1155690110950146,0.0193103170443376
-52.96215739755356,865467.8676385416,726214.0944234353,70493.25268612776,15067.373388872778,6344.582396328,30366.12788286836,37441.54748070957,2448.518893006251,2022.639945511888,3160.2424974500286,0.1155910874804917,0.0253614673479083
-112.94162519037346,829518.5047963489,717643.7181709503,80598.70106479408,15864.789411972808,5182.98509556614,28736.27037788876,72315.4112358288,2885.3682602517715,1932.5007997578,3022.092393563273,0.1170685922455798,0.0210819847189164
