ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N
-343.00815227653584,826015.158067171,701258.3935710769,62620.49676741924,15994.54610004922,5580.710282790315,29576.72581304927,80882.06047659187,1973.309226388543,1875.429653088624,3021.7771119616164,0.1330494847578573
-269.6848114454853,844828.4705780891,665540.26184071,54748.13297498799,15458.577642792194,8666.086633277275,31904.862899175423,29242.35843848149,1841.9513429278068,2070.518269466392,3078.905423833746,0.1028455518359559
-169.8720836170029,836619.1408519,758488.3640033234,72406.2790915853,15578.297259618768,3597.015228833315,30032.85184000835,22711.131302618025,2517.596449544892,2000.0659203418925,3052.487814049546,0.109298288166804
-108.35906784927197,807739.94488407,678953.6741603607,74228.46966309834,16078.63249478018,7143.253142410162,28855.33843013657,33160.826188284846,2755.1715254818373,2103.9150727061988,2975.20099529458,0.0972440831534912
-286.3027014545559,839403.5600839223,731832.2668000279,60027.22303336772,15846.642196223547,5133.614353497981,30264.90617573987,28062.72611742636,1928.1477215369964,1951.6835230896456,3018.700393339563,0.1292301207246378
-380.1052556852492,829922.6120037736,707599.7865327564,64409.74244134445,16064.800288674918,5144.425006129452,28552.062442789807,45563.68723011256,2282.60274663295,1755.1672896805546,3014.0206611305857,0.1589568227482288
-183.5973256699873,845558.0863775931,717171.7223515189,60508.30419479752,15555.514350535545,5702.413086863937,31301.443327576395,24382.11117302645,2193.413677028313,1911.0295541469093,2977.23525248894,0.1432111499473317
-245.4058706037885,860954.1543364996,724839.9070188922,66002.28472188453,15065.581463946131,6122.103184371866,31067.23765723253,23841.869381461915,2358.715602684368,1925.127285439432,3155.396725266777,0.1326685402667115
-245.88114788858428,829821.9944840731,709923.9739970575,71270.03198225617,15833.232353235931,5458.840436349535,29768.446562159315,42406.8077393477,2696.8570299101293,1834.566543169608,2992.724723359445,0.1318581111256711
-232.54392922934093,853867.4578511185,668579.3537185519,66171.06601455538,15512.7627127386,8246.675206850428,30239.53369645685,26849.683414000952,2356.3312120767214,1870.6621613876337,2985.6184532848806,0.1260621346454173
-283.9631370748124,833490.0492820524,695992.4096294165,75143.13730669637,15885.640517049243,6546.7867512790335,28834.82076838253,41649.408194538686,2806.699265150064,1914.1706646446123,3070.167229525356,0.1137925750441818
-224.16197768346547,809608.1781924182,716979.4784361342,50000.0000000461,16005.153494922828,4655.993057601236,30464.87283948153,27578.089513364903,1531.3949159773567,2064.492261286053,2991.764521718956,0.0947962997039773
-328.5556256495913,830128.0668268229,743940.4169522434,95518.36215053024,15902.694333525906,4187.969624726351,27701.003062425138,58142.23494700426,3326.012459920928,2002.079194070825,3032.388396132445,0.1181017723770009
-168.89194028997682,802311.0241839614,713951.063519869,66254.33485004882,16081.567587595133,4527.203163196458,28930.426971615296,27336.32273428136,2428.29119049038,2007.320341918572,2941.2729311486582,0.1031181621241006
