model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
803,-101.82856468110728,839455.3765335372,680551.8807273379,15060.734561386162,29985.39892357545,5017.373940680989,1817.2609249613345,2393.093531232579,202831.6045576579,0.0555697487844477,27224.398012016445,True,1000000.0,200000.0,0.1,,
804,-40.67263887404728,773196.9520460006,710218.8166800317,16322.360539161313,27370.18415436709,2185.740548081389,3908.6443774932873,2556.5372490949944,289744.09112437704,0.1045633961369949,500.0000000007224,True,1000000.0,250000.0,0.005,,
805,-38.093452193899545,766897.1531123478,731440.6210456557,16401.574771520965,27250.409409652108,1211.020247904398,3832.52428819839,2535.7655094211527,279014.86245806096,0.0990508594510783,49999.99999963772,True,1000000.0,250000.0,0.01,,
806,-38.8138624831952,785152.8884081641,690234.4025908107,16092.78059148264,27879.957015274536,3322.543154470919,3484.1952371112825,2440.7175917837308,258564.75236976505,0.0887622295082476,49999.99999950272,True,1000000.0,250000.0,0.02,,
807,-36.371584735432734,773284.1195826846,742990.3221091153,16237.236801382009,27670.386119277264,1014.774041728612,3358.44230890324,2423.4037722635503,241739.88789766823,0.0800139470273165,49999.99999953416,True,1000000.0,250000.0,0.03,,
808,-38.86318256143264,775059.7098508247,755384.7607789054,16178.212829277596,27839.750298612784,645.5464276805045,3159.462403155226,2439.104543828267,233015.8241982461,0.0738995743903478,49999.99999998207,True,1000000.0,250000.0,0.04,,
809,-43.82871223712084,781936.4657729968,750600.6040289972,16044.370223513348,28139.21981919411,1020.5837037337049,2966.6312696767413,2441.4158990582387,225225.5511392569,0.0688052069911893,49999.99999973951,True,1000000.0,250000.0,0.05,,
810,-49.79322483420122,787320.1726579216,760236.6531581131,15932.785688463877,28380.047361622423,863.4348201713414,2805.368384125752,2434.252518977365,,,49999.99999962439,True,1000000.0,250000.0,0.06,216270.69538823824,0.0640882381345106
811,-57.25206131918283,802130.9869049788,742867.1854444883,15685.519720431235,28857.600355307208,1887.3945423079997,2657.70636650425,2457.640983597012,,,36292.55575040784,True,1000000.0,250000.0,0.07,214176.7873984865,0.0613694789335099
812,-64.9075143634135,810159.9670107,716455.0191881498,15539.27918934775,29150.887368943542,2999.476498814591,2522.598990475055,2462.242634246218,210461.408803158,0.0582522534418836,27778.112920552623,True,1000000.0,250000.0,0.08,,
813,-72.28358715249614,823792.9521061305,692725.0265119746,15315.096686313496,29557.140022921743,4198.464431049641,2413.9210535151788,2474.210054416682,208911.3307941598,0.055954707241708,21963.715098741613,True,1000000.0,250000.0,0.09,,
814,-79.0082927214977,832151.343823301,688482.547055677,15170.717020137245,29838.498384444814,4536.368027816282,2325.2012434036083,2490.61134307204,207161.1224847792,0.0541690338394969,18661.880639548115,True,1000000.0,250000.0,0.1,,
815,-41.02675697510133,763804.3984355889,717577.4832211379,16466.405313163898,27105.14690614196,1597.051744748843,3966.229679967679,2564.335378629673,,,500.0000000000003,True,1000000.0,300000.0,0.005,291141.3132573075,0.1054224604114022
816,-39.09230265203699,753381.8635653664,739007.4945876143,16608.53436947119,26870.83812384084,488.0275024552631,3923.2676017619447,2546.0773397807684,280737.7208830578,0.0998802371774558,49999.99999876881,True,1000000.0,300000.0,0.01,,
817,-38.055297536178045,777376.5940271281,707354.8301786307,16209.563712648414,27665.094608004463,2417.1461875133077,3653.025320894804,2507.307983335934,,,49999.99999973826,True,1000000.0,300000.0,0.02,267532.1019058583,0.0910411785646124
818,-36.7664460453843,768751.0265084928,723888.9246209511,16305.857783141084,27547.34495135747,1516.6417425328907,3515.2731866423865,2556.370399081277,264311.74789990083,0.0854832561669766,49999.99999965921,True,1000000.0,300000.0,0.03,,
819,-37.97722551834514,788375.4589450274,734829.8478541714,15975.884316266403,28192.31982179871,1783.5929015734375,3384.275688063127,2506.662353737845,242998.2911484668,0.0754272229168639,49999.99999989485,True,1000000.0,300000.0,0.04,,
820,-38.93500892688448,776526.4761964106,749624.4772391805,16118.32712553093,27994.5888731574,880.5665883104439,3249.744784762265,2480.4987590436194,226981.92688866172,0.0675122790545829,49999.99999964376,True,1000000.0,300000.0,0.05,,
821,-42.26836969936163,778796.9762072919,757197.7682930704,16055.481152485489,28164.5300774402,693.1895018516983,3123.93784301406,2500.131577216827,,,49999.99999973231,True,1000000.0,300000.0,0.06,219710.5266941247,0.0628708154864001
822,-47.14107503633296,791342.0511367928,749269.3741726994,15841.893852052726,28589.877311854387,1339.691064563082,3001.834485054374,2519.6821972036782,215848.4734448796,0.0597357027556459,48570.01147929058,True,1000000.0,300000.0,0.07,,
823,-52.09834102996976,795358.168219652,762906.5442524651,15754.136321396389,28783.31105943005,1006.8628850339898,2908.02196258065,2541.9778016442,,,27957.531981775806,True,1000000.0,300000.0,0.08,209914.0111079844,0.0561577071413332
824,-57.85661040323106,807000.1856803724,753593.1099258185,15558.71059037084,29160.294672048138,1642.5188813755265,2813.8131087559977,2560.400344507404,207478.64667522,0.0540038766386472,21197.94877069142,True,1000000.0,300000.0,0.09,,
825,-63.869456762686845,822884.5109301793,713568.7459025966,15303.221534940603,29624.19906280332,3406.0870254593437,2717.602336397731,2570.0278159111776,,,16245.354266686512,True,1000000.0,300000.0,0.1,208112.30319030612,0.0525235955149222
826,-41.788252344192784,761697.1967584322,724030.2709186138,16492.11538424844,27051.351243258883,1294.0834591543753,4034.109027270621,2576.455338030518,292340.0322316459,0.1055948882187691,500.0000000004,True,1000000.0,400000.0,0.005,,
827,-40.391863308274736,759954.3307133587,727199.4573120696,16500.07665014684,27063.396917997397,1120.9625146025685,3983.494556861677,2572.196739048933,,,500.0000000001233,True,1000000.0,400000.0,0.01,285905.7128526578,0.1008173459073469
828,-38.253335440538834,764323.6190152377,729606.7167167243,16399.012697247956,27308.70209128428,1182.4782830463469,3878.222330271087,2541.8889913557027,,,49999.99999989502,True,1000000.0,400000.0,0.02,268772.1920773336,0.090341588153192
829,-37.54278622350563,770311.3985410122,717400.1775369248,16274.46457948552,27595.78589184535,1808.5954742827405,3746.692252284138,2519.550378292456,,,49999.99999949578,True,1000000.0,400000.0,0.03,255463.61074775225,0.081939920381092
830,-38.15216012704765,754696.4278330671,741979.5974628463,16452.99929502498,27371.6326595296,430.629022051416,3697.235122879593,2700.2994688308045,,,49999.99999999992,True,1000000.0,400000.0,0.04,245222.0433645924,0.0650722201811675
831,-36.21463984249088,767987.8954935016,740918.2610794927,16240.428458266671,27764.067868892107,893.8142502279514,3609.866849635824,2550.1095645886144,,,49999.99999977565,True,1000000.0,400000.0,0.05,233959.02846673728,0.0676493976476936
