T_NH,T_H_N,T_OOA,T_UL,T_LS,T_L_S,N_Anc,N_Vin,N_H,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,p_H_N,p_N_OOA,p_L_S,m_SY,m_LY,m_LS
785124.4722118897,213578.48305987616,72799.82879566019,45000.00000023036,58522.20052739937,7000.000000002934,16331.636623926071,2157.3166127521113,36620.67888915602,7801.863401612682,700.7719121242071,6961.1687718246285,9870.631629430347,962.1889685707447,0.11591714225803905,0.040085583254237445,0.33513172895613036,1.00000000184553e-08,0.00016798144576300763,1.337471491314675e-05
842742.07201584,157032.20447684513,101320.97468148287,45000.000000296226,61484.89556861471,7000.000000035463,14950.501416234369,2140.226363133407,38213.354874165096,10667.68543566917,1749.4547039451988,5549.141064941937,9959.146878779498,1184.0883443104804,0.07293674995512023,0.035536078047309835,0.37844437241632284,1.0000000011722908e-08,0.0001573643287306861,1.000000024956519e-08
808909.3832346612,169568.24617789107,75175.57474739951,45000.000000000146,64494.36690356379,7000.000000084952,15490.93465277325,2220.5711733092544,39439.3513957682,7422.969062963892,508.9088130189905,6550.245417015626,2363.524180053529,949.6875227960119,0.06737746886499128,0.04196930191442348,0.3441308417960222,1.0000000005716867e-08,0.00017261367659444395,4.907410039818331e-05
789238.8318778615,133312.91895922835,76794.90264234903,45000.000000021406,56519.17336369996,7000.00000002309,15292.731113862188,2250.93566651588,35436.0964213879,9283.502911483165,1122.24840823795,4144.40434033342,8949.848378335873,993.1610396935894,0.04195884617569675,0.02701384959962274,0.3332568248531441,1.000000001144583e-08,0.00015288110449792255,1.0000000205269243e-08
852241.0748048256,219042.2580675903,76247.8141649487,45000.00000000278,57462.839866060756,7000.00000000409,15210.876860616143,2334.9982060200477,36437.0825813749,7846.93017488528,944.4885852665493,6960.9158599140255,9830.194760380444,990.4195610456402,0.09332246276351969,0.040908059687711426,0.32827494644798144,1.0000000046257487e-08,0.0001575598972075108,5.976265097469407e-06
831429.2184750366,157518.23583585597,81560.18385983088,45000.00000000134,57384.44113488907,7000.000000002263,14932.588130688371,2151.2366312149,34713.89772469776,11440.431722746049,1357.049536737575,4388.091488577335,5903.129643989697,1085.5512129422443,0.06389563542977932,0.03621240453934231,0.31666252857967486,1.0000000091490495e-08,0.0001319752217715085,1.363258131212949e-05
784605.9182963986,229252.96898841573,62998.98670853583,45000.00000024531,58446.38179663428,7000.000000022394,16073.853855425628,2085.1161524995946,31768.94962365776,8486.14589247662,289.0116619542975,5088.631347241061,9976.60936151937,1077.2574210139062,0.14999999999994912,0.040089643154942664,0.34747761639108515,1.0000000024593324e-08,0.000145727187069519,1.0000000078084685e-08
796995.3836595136,171317.1095853423,68730.3724277102,45000.000000000065,59543.403411063235,7000.000000047238,15617.272726691464,2291.7067813078834,37784.1205408868,8748.398131263237,479.69681935876685,6756.860642347024,14.621141320566846,901.9079846124298,0.05947836978320883,0.035836095121383506,0.32062467531797806,1.0000000006807195e-08,0.00016810096703854987,3.58130184977799e-05
822677.648815379,188147.05512792195,100635.90599432008,45000.000000195425,55854.17813036631,7000.0000000290465,15160.554142705518,2255.9671690465575,35760.91340673,10200.037310846876,1848.264041431884,5692.498894802166,9951.503047828768,1034.7942009510407,0.08054021735345304,0.03709425990429953,0.28169446301428325,1.0000000005163568e-08,0.00014466449818702578,1.0000000382076156e-08
813424.5854860854,153940.41295731487,75778.83496319823,45000.00000004019,59219.632492078985,7000.000000065044,15531.02165259172,2183.757375834509,36029.261430132705,8718.297844715145,852.7223813672928,4897.574854996123,9988.403448746823,1095.8877749490914,0.059266898268097175,0.033669125095014164,0.349359039130739,1.0000000044269851e-08,0.0001641387830728336,1.0000000228241908e-08
