ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-34.43611078203022,813098.6371887042,69044.17314382736,15969.872377262462,9697.12231317932,44.48337554387561,27714.901118987356
-19.67506513675206,813215.764181117,68165.78624798199,15923.409813534556,8672.597042357305,36.55971222943683,28327.057780765743
-18.956078113502887,838641.0261049056,70934.6361307782,15479.567872926493,6359.614099363979,121.20499708020144,28959.26382367592
-18.91766807649386,809654.0208840009,68330.52955244461,15731.2714743179,8813.157528162543,42.473543978560734,27842.62035639921
-20.553612135782583,838892.9821483048,68594.64749393298,15307.445109474456,9999.999814531942,38.5367575708506,29313.286178054837
-21.011123003864427,782569.1121862665,68843.72262625225,16158.852941896446,7454.914001425804,51.047893856886056,27275.944769157624
-13.968246020533488,780348.3431174584,68270.44272380146,16204.709313040365,8285.391589540108,38.68225001395493,27087.89163730814
-15.25878624327272,802711.4995781683,68853.6645495402,15788.895135349743,8521.51014470851,43.77377540583312,28040.57329512789
-17.875682048245814,812846.7659788717,67651.56189525985,15912.825448740416,9221.351170079895,28.31106194308999,29381.98965680149
-27.655981051205465,842033.5816757866,74195.97074135019,14968.269272512887,5091.331822071059,309.9212542281828,29078.562699392594
