sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
55,-581.62134917282,712445.6789382021,648042.5981975697,121630.29483330445,76194.93953760559,48000.00000149109,18322.005754044378,3237.251089563568,3376.747172202285,2473.5560409080394,313.59862226176926,1746.787640486637,2197.035643769592,41049.576242339186,4236.372248267705,513.5121460919567,4.171299045855128e-06,0.0003773619717491284,0.09803301275192106,0.06865209253342631
56,-472.58592721364533,754775.6951658998,715615.9166726088,118089.98396052839,63508.41322781358,63086.62602844473,17491.06240733921,1895.6383054683229,3471.610461041743,2897.2005908700003,133.06972119941906,517.9078039282011,1125.1480019515834,40537.44749163584,6311.699813874649,693.6768698604939,3.3694827883263227e-06,0.0002484896791002336,0.0794777050298984,0.04576064095846396
57,-604.589214312339,741067.5067199919,681165.2232976704,119610.00630508512,70105.42256840935,59073.94754159977,17444.62981794492,2735.5466931993446,3368.270421614141,2590.2240952507523,204.14075337808967,785.5127544605871,1324.9912380628143,33345.620188233406,9091.58937184987,811.6936374291097,3.5991499025471036e-06,0.00018672369926113738,0.09575480315712119,0.039473892801821224
58,-655.6743794115855,759431.2408209605,739951.3998280654,119853.85609052907,68905.87748417597,57167.02928456351,17311.055551308284,976.5780523303938,3343.0741933739732,2810.392867992067,190.86475478037403,864.675907451582,1403.8608469167048,34850.40975573349,8477.09052310407,756.5634892531933,3.962907587684343e-06,0.00020801377977700743,0.07951197290612247,0.04118189063176607
59,-599.738603997223,742159.780125378,717692.9407711999,119314.04588741157,59298.98412455928,48000.00000350924,17875.11617330242,1225.762375363217,3263.9242740341438,3144.4766750271947,171.30460437873646,222.4761288943198,948.2921423254018,40272.893675654355,4931.737992293574,535.9444355533079,3.801588807414253e-06,0.00032952907878160684,0.05140605724129375,0.06283142324626273
60,-624.6934473812264,731083.9774875328,671733.4718392543,120125.7598999278,67750.22944056006,73070.7734081451,17353.6925429908,2991.3648133813126,3186.9292812071258,2796.2109747718446,242.86241649173624,641.8459113387089,1175.5632428772437,37703.77034615187,9161.551201151246,885.8937758663216,3.847103822993229e-06,0.00018318765828989137,0.0687785804525123,0.04403026284681134
61,-556.8588920495542,785678.5138815548,723560.1549232029,119559.79898324716,72985.49551077432,67003.94341826407,17326.560921000102,4133.88915440584,3101.5680876168844,2481.0763107007137,158.2992925752515,929.803815497986,1855.5543217124145,38619.55859943748,7414.333984303625,892.085723159038,6.679099420299429e-06,0.00022890778432938723,0.09201962308445032,0.05053595526361708
62,-622.3932570553209,787372.1672803555,732771.0047959038,117363.1442437773,62977.98536709708,54778.81236138539,16854.675875446406,3307.0437129764337,3096.38869636762,2818.161262376376,91.73089933538387,519.1202029948444,1112.6857658339384,41370.5650705184,5676.618999966035,618.3656378113541,5.42215357108619e-06,0.00027105117211657085,0.06875423190872365,0.047469702522875176
63,-720.4451764668263,714884.181073298,677386.2664820811,119506.90062719474,67308.51280583578,51732.17302307238,18103.65839346034,2107.5690336251187,3242.8403602777366,2739.495578243651,187.82264827733755,660.4639820384543,1174.4735006676449,35570.039521070226,6702.335693920541,667.4399098580659,4.668364578546355e-06,0.0002586202048410843,0.07403651792494458,0.04841410090885815
64,-607.9645822953476,769198.7688074056,724337.5901515493,118348.57343729364,69789.43234027487,52414.79241744386,17292.666448034794,2256.989289692209,3374.5524390914375,2543.213756461376,135.7449789075657,1030.737111190101,1257.6162324326456,36162.019108788685,6992.148075944172,684.6238435387625,4.787298519658718e-06,0.00024803429536236294,0.09632845173953641,0.045740313411017135
