sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
267,-748.9831890262817,811633.9111995159,747031.4266191004,126131.1951234713,60130.71433484593,16145.585241108296,28855.419225602956,6457.797285497976,2687.1990461622086,3233.0638957256174,443.6746808130728,303.60275993731216,959.0956842235678,7.788968042017093e-06
268,-699.3661757447376,810022.910041026,659385.0464089306,128198.83063575272,70636.80371639565,15884.543375712477,28463.715869901655,19572.53985504415,2569.121957913038,2953.636383229584,539.4976667368994,735.3195367945398,1880.916782449609,9.214949648639631e-06
269,-785.0098239544689,734693.2072271885,668854.9691782283,126250.01963500642,65650.03954544022,17565.81494061266,27422.39068631382,6440.678178078378,2396.7492151836746,3107.3135893566064,427.1634674515142,689.1500384529656,972.6568224977374,7.766579225518841e-06
270,-765.6503425694343,784921.5971059243,716846.1962968467,125126.84503118513,64497.33325358249,16915.248893505668,28989.954154507453,8961.854149036886,2619.4584871715833,3084.0647850972528,423.9465488772765,425.423110082702,992.4481797651164,8.566470353336954e-06
271,-653.4810071724471,718964.0733185186,637769.4336366964,122261.7896305696,67531.9624657865,17642.785544372935,27783.691694360266,8235.594059066414,2682.1039941251747,2992.8901339033637,306.47286934021537,738.5156837542507,1175.7104073700555,8.736233684159479e-06
272,-619.2429378535701,813356.5473542124,772817.9568521098,120385.86634206846,64431.357571914145,15941.113554578302,29631.037712515765,5123.9602425615485,2695.4455723664855,3159.123094863201,186.46952165774013,460.01168464221263,1033.0430754476254,8.311306705014097e-06
273,-666.1371947588649,779902.104200751,710762.1981141411,124423.84170025303,63113.08896040339,16447.564335356485,30376.99687991628,7535.157440732702,2875.6118266575368,3163.5768363132365,411.9810763580953,360.27790782781693,908.1040444659371,7.858645811105929e-06
274,-623.2362773187865,750974.1549120564,643206.4655088886,122705.31330819015,62808.28894396711,16988.915616322032,27658.12201709425,10905.512335566611,2896.5090110060632,3091.1765815945832,322.2690843018489,338.43379645209006,1042.517567830442,8.886000068232825e-06
275,-655.5387605346825,773815.9855217057,662031.8592537935,125591.13639685969,65170.358598985695,16640.39555298613,29555.646351539162,11079.261357439176,2760.0551198706107,3149.857716976011,485.6979622702385,508.6052233660799,942.8784862735649,7.889120751150771e-06
276,-433.68202754916524,811192.0893094877,737213.5439218228,125299.34803024921,61769.227025544045,16222.401226281941,31092.69062256827,11883.37309061127,2732.5961664448937,3065.5019133364335,426.13165120290387,266.3591535598688,886.9961163140189,8.735382483241123e-06
277,-697.0235462075053,797903.3810294125,673901.7066315816,120859.84469832064,60552.03498462516,16567.459224382055,29451.028161701473,10825.463184717775,2861.92072785807,3305.0016096646773,202.22800416019203,215.56125930652573,832.5992727475028,7.4392339601386265e-06
278,-808.0257918684594,777430.778476555,744263.8726064177,131009.67216247863,69646.02147187522,16690.758175547522,29448.497350378722,3466.9330082485294,2783.5644965379543,3178.2414035035085,697.5743159723213,782.3586874110085,1501.2603303774417,7.96359812736636e-06
279,-624.7299447870854,766250.4337993135,608684.3495380752,119443.78530956434,60571.29064239316,17084.317717167338,28992.07121176462,16295.154820549627,2634.5387363872233,2991.018504323183,212.8563005779844,257.08719446847533,870.0415902722258,8.938784600616907e-06
280,-914.5041068922911,826549.9660558114,682502.357662906,132245.0789396245,74999.83099416427,16055.57711706851,29383.8842927673,14727.996744224638,2642.3557673597074,2972.985376790901,663.3161755850919,1024.2529327622053,1388.4251926409124,8.51136960894525e-06
281,-872.8337823173495,781799.6886432166,668721.9973985429,124323.84105231355,64795.796069397635,16771.395493225307,28316.532694704947,19965.28556682534,2476.4404506654814,2963.054222718213,385.2621006843796,470.86668008705266,1212.3555376353117,9.565649281571264e-06
282,-861.081147850788,800461.6683602962,742450.058998022,126074.49226659659,71826.44211302856,16047.946691840249,28751.30117788517,11315.576661136507,2615.113708785394,3004.327668698312,402.5469624162017,874.3164259596695,1478.7087519686368,9.1877308014226e-06
283,-675.0812551335148,794668.9698632666,705408.2523360103,129485.84138068557,70931.74665370258,16792.317330871192,30246.79683823216,9515.851931055568,2523.7785913503276,3220.6774548795656,631.6360262212048,708.1686309583629,1423.2948622057431,7.143444616490576e-06
284,-903.0273198794862,784473.2532393545,653130.6594589752,122328.35122780046,61633.997349779616,16809.154095696307,29649.814214442264,10770.492930968763,2972.467145570724,3251.578461447451,389.00399527631595,361.85193783559816,1211.8141956188163,7.484104970817666e-06
285,-678.9429290674909,813076.5341569284,659415.3134600545,119455.52682397327,62862.97467601837,15830.792104641432,28599.62164077484,14842.556509065329,2549.2640624148576,3131.184990743521,160.0093428254618,349.8563095767107,788.2061788867752,7.797815031889653e-06
286,-583.7412359148643,781716.6925362662,686969.3296312292,119708.9004365389,61912.54556580066,16621.731046938872,28457.45573206619,7687.550307326901,2931.39837621832,3270.5714324404807,213.55896953900097,255.2838211123924,999.5236914189308,6.846289577652327e-06
287,-581.2574507132723,786454.1503061703,705489.3130465222,126908.95161473335,64583.40787975337,16439.020007982388,29448.288959496884,7852.778453862616,2788.6621769666112,3219.2317586405675,528.2403466695154,415.2702705321654,1069.5948243204648,7.548072371922826e-06
288,-525.4147061700587,799271.246172139,697056.8789956386,127162.04303128115,63890.38128913556,16376.17261751111,29784.100873566043,8933.51103895308,2758.2105007957293,3257.7774086253266,570.9822684909152,389.0036839803005,1153.2738273281473,7.059913392230566e-06
289,-708.2702523302463,790867.3691778671,717369.0175925693,127728.74638616477,67275.1756064794,16869.208679658306,30376.23955907404,7711.142678237564,2687.6640161625646,3174.706192573897,538.2838976860326,670.2459921447777,1269.3548923124117,7.951633547172754e-06
