sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
92,-499.0246394143016,741848.5535878034,675129.4614131663,128616.9163364477,66452.29919832032,16933.254147796026,29237.236439853496,4249.678669940791,2784.9273989836106,3288.7236998128496,566.1337120437928,429.6823350930931,1056.923968610441,0.03160643875634684,6.3678965074909875e-06
93,-392.1176360015667,794982.7247929552,659200.7709675211,121909.78748484507,65268.124165781475,16244.262443358852,30397.48590385563,8553.803189828735,2949.756797373634,3331.4009203134046,288.127089016535,582.0555736950863,1174.946789526484,0.04213349616065002,7.034749506893297e-06
94,-361.4783724907989,785433.9699158621,585186.7297802565,122940.94276260491,61801.08330044796,16383.0346741999,30980.284421596894,10769.460392099627,2832.959182998537,3288.3054910822093,374.46047336299324,282.0929729823549,886.7221534854211,0.036665242719997854,5.911640149408442e-06
95,-421.2711944070646,764491.7584533051,659575.5702226362,121993.53867334488,62315.833729484286,16754.219549777532,31743.231233933802,8127.012083506112,2828.615361733105,3217.697594135102,299.9483095524044,317.7387081430185,909.2077325118482,0.030248489323712005,7.90846618276665e-06
96,-430.8494828159752,804151.8169650475,623414.1936063416,122928.48559085713,65591.76436557848,16158.745419305033,30974.380123322422,12290.18232576357,2666.6888617130567,3206.776216779018,284.9250949042606,486.19689216306216,1238.4202758016884,0.03411325209077006,7.603786460769865e-06
97,-667.5098721379129,820661.5798180118,617753.4835675346,131895.67408134468,73618.79309496348,15967.570669863399,31682.54779099713,12192.83278289381,2706.3391866514844,3183.7808421753366,782.7883412229876,872.9249422880911,1837.955472779057,0.03402514679347735,6.880488135438222e-06
98,-419.09051782708246,756251.135831914,649957.7576320973,123363.82883104637,64786.04679326473,16491.796975325156,29463.450977656565,6936.238796416636,2810.1977176532623,3297.3561193942687,276.89596408074715,390.31062031406697,942.4005391830858,0.03267111795510404,6.911534530499858e-06
99,-406.81537065128106,789243.6411351964,651512.3978252478,129204.02308893048,66321.53761092157,16154.071518547196,29926.3194574313,9502.298947867514,2624.850889323913,3093.506315928655,716.3324821177282,687.4470934994587,1265.1553353541362,0.025424579153463064,7.122558018094878e-06
100,-376.9959931553429,795730.9822513197,633207.8770949594,122950.52537257179,64614.84429201683,16185.747961676458,30813.129092658022,11451.657350756952,2949.4054790174982,3246.5998767778333,382.10624311270993,415.63625713651766,1219.9432620001153,0.04027579039156922,7.321959189399607e-06
101,-362.5350466517828,754254.3012034143,647306.0368434768,120873.283799477,62321.63695814557,16611.711173650805,29933.445998101717,8420.34870921503,2739.9488520537384,3174.1410565470474,217.93911605597623,311.9406471387889,883.144549670335,0.026348878869838107,7.91350119456956e-06
102,-546.0435564356812,770005.3045920925,646774.1510110621,127631.83628981475,65703.14002548387,16482.416360430434,30422.535488139893,8394.684728271772,2801.7886780824174,3329.3228936790524,601.5741358792062,442.7072707987912,1038.5178842667485,0.023424854837816318,6.372629000739338e-06
103,-406.30657908991793,780499.9554296611,651189.0942506915,122297.14507815431,60215.09584965521,16083.591323475614,30139.30350352423,6883.338698812515,2728.8483363927526,3442.2920854022227,271.16495372580755,190.64525905498263,780.2095815296415,0.041395933279470866,6.2983835587174415e-06
