sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
450,-764.1540227503909,815412.50155919,752614.9162939364,122512.72888807862,61867.62594005017,48000.00000017895,16643.351707203477,6193.224496121751,2779.47149729618,3298.9242559496765,311.0252502659153,374.22674778187695,880.4164316826971,50274.006864819705,3490.442400963127,451.54288744628593,7.817756296094005e-06,0.00043743150553724743,0.08292034778584388
451,-746.7905490830385,822311.1484841299,719517.4407847114,119037.11083836143,63179.17147550681,48000.00000037992,17015.823077341607,11954.177871565358,2844.402415906681,3183.88167236737,149.2701345086262,496.9293967311732,1235.1854066313285,59541.71368540222,2870.893588802406,426.40816456391383,8.836076096989807e-06,0.0004621345116391822,0.09196617689451794
452,-744.0622379586418,785943.3287912108,651410.9153207402,120672.95330925222,58736.03099486283,48000.00000010682,17120.620169823396,7964.569068047669,2914.541531743365,3369.4807486837167,217.88908013760425,163.81211330382968,769.4344138710886,66046.12089332758,2561.9711612173387,400.9793901279065,5.81922983254698e-06,0.0004970149135230292,0.10873883291333096
453,-910.1402629462212,780198.4859394638,623450.351317502,126010.64462807335,64901.551096975185,48000.00000014195,17117.177935689,11436.837264264523,2939.6431506304884,3270.7651664017876,469.02554444125286,459.1489063189796,1000.4056779259113,48318.774371228086,3930.6174664714645,487.6333825144076,6.3040820197565245e-06,0.0003496744285617111,0.06167650115221017
454,-585.4984777463089,775464.9996662934,701125.3251290177,123822.86667302556,65442.74849293845,48000.00000002862,17069.846922463068,6707.687828177995,2912.591392213539,3140.8218489817004,431.72395964529085,609.5400725314643,1374.4773401442787,48397.942427617185,3585.6809378416724,462.2472371058808,8.384069093604529e-06,0.0003900274804327904,0.08561147110986798
455,-569.893311910046,854626.3550617456,642977.5388988128,119200.27860115579,61530.922276026104,48000.00000026933,16138.978498543738,13947.393820217381,2935.4470198624467,3288.2135885391303,176.32680128310477,256.44455663330587,1123.0765680305524,41201.93922660345,4932.3970994507445,556.5265356508696,6.551975262176975e-06,0.0003260651834454077,0.08233563514684818
456,-538.1548058715941,792200.4420948981,745120.0604097494,126701.359652509,63887.08228083067,48000.000000000065,17230.073174776422,5844.711577717363,2717.126699111258,3172.834350349117,434.29448940043545,426.3604832726424,1084.0852508086195,45313.791686766206,4088.6123461934963,508.10400961627823,8.472889602650979e-06,0.00037302601232739175,0.07027756940911198
457,-644.6154005790534,811586.3491709827,663957.4940888255,120107.72162052282,65567.94227562218,48000.00000002931,16580.96560921196,14791.776471562067,2743.515711350819,3076.4080146741567,224.591089923482,532.1239518297658,1095.4360427097881,51588.07434533992,3225.0828003630018,484.8099995783697,8.906090552454208e-06,0.0004180049409252384,0.09379900494259996
458,-724.0683609730448,792480.6232866814,542707.9100051643,122541.35966494848,73325.04930353333,48000.00000000041,16891.763957728694,16984.97531283049,2605.1401145334044,2930.682725266988,316.96990331563256,792.2694740360548,1440.6530156607334,49038.75584791422,3425.813740215257,470.9635672956527,7.04736627130605e-06,0.0003835454864084748,0.08212806794143596
459,-805.3469897189698,803278.5954137439,593584.2731025184,125921.41113184972,62628.40107003441,48000.00000026208,16881.988946826143,11831.3657726371,2839.9421917591985,3223.522430645448,538.2058041658172,375.01627438052503,1101.7485206054616,48950.25862188197,3466.4929593401607,455.0600100013617,5.691449221820044e-06,0.00041614867174100687,0.10034023150328761
460,-680.767445617359,794972.9016658425,672461.645170802,119534.15555391212,59462.08861130764,48000.00000001192,16532.083654994556,9057.212304960864,2864.7646572629797,3336.30634696001,173.26650666126233,178.83701614364247,753.510223980537,45848.066379893506,3798.538849218066,496.66220634447905,6.334023970457385e-06,0.00037750730883357093,0.061967025551995694
461,-545.2550110758805,817559.3028095447,652898.0284882843,122822.93781247991,60406.10920926836,48000.000000001426,16953.67654034789,12058.986311698744,2784.8869132217837,3301.3092183864487,340.95927336774514,278.04000798587145,970.5449623670772,41069.620656574836,5028.052140850639,555.0775615257902,6.8306631028092975e-06,0.0003215319786274342,0.08032360420444637
462,-702.5104623696677,845867.4839793418,660929.6074531727,125351.32087478918,64223.901747139105,48000.000000002365,16323.66469575482,13436.597499917785,2851.0754292564984,3318.8857355852915,456.4346263976976,468.8526828031446,1186.9267113175035,54000.092320065545,3357.493416622072,443.2592469007882,6.588926544288887e-06,0.00043227920313801676,0.09085097123167192
463,-643.8484345607212,772450.515316439,652827.5383606747,121598.14904523971,59480.71790587256,48000.00000046467,17212.95483341916,11546.051150668574,2528.034827022194,3064.04444596079,234.39919442795048,221.17613147405135,820.8022502426089,41566.92022568687,4343.692475659108,553.7662590821258,8.262292803153915e-06,0.0003501003077292709,0.08214841841633787
464,-518.1258526018581,793686.5287993359,577665.2643245328,117955.20556132971,61877.18654630751,48000.000000271546,16741.76554336398,14724.741716430523,2870.0247477677503,3025.176189858093,108.63872911038867,333.46893722074105,947.2855060604707,55355.17085667029,2866.503169403683,437.4568200655627,7.519301050433658e-06,0.00045181049602337436,0.08164800907589415
465,-530.4987121787174,817963.0293640752,643731.7407693057,117765.15635021876,60099.21738158621,48000.00000001771,16810.721199449654,16879.461950159326,2651.070861981527,2900.7330399981684,101.46555596151329,309.05776159001516,955.2214119107539,51761.350726130106,3763.600500294941,455.5947756492955,9.413975560439897e-06,0.00042727410274365674,0.09109064033765371
