sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
72,-158.7297931663618,792127.5405532124,49568.24330169113,48004.07045875555,17820.291880952413,2282.918778337039,27029.828411493123,30048.864439757708,116.63962922628491,4822.973452735747,828.0360279816573,1001.4795963393412,1.0000000065629405e-08,3.986779527314192e-05,0.0003021772175927554,0.15017401368163036,0.023033639388581724
73,-141.82288743066817,812379.2145925423,51339.601383530025,49674.788151125715,16776.28729167036,2164.5360188570776,27928.785241591064,58448.04593385962,119.9399772951442,4954.609416947371,1565.0720239711322,1166.9143756489495,1.0000000024149838e-08,2.6132899718821513e-05,0.00029237539007076957,0.1578984412714352,0.02572513572541002
74,-103.52747963240964,827985.5157700394,52900.74844217155,51673.378838386234,16524.23892139224,2149.227922307015,29461.622548183892,19038.7401019312,87.64741064921226,5229.748305347301,5207.867647976932,997.4576521036478,2.7055114345741913e-06,6.455118146646753e-05,0.00031215678574329303,0.16293507434795995,0.02665264701723134
75,-170.50753615716295,834171.5775879164,52662.95478656085,52219.69925121438,16496.940418952257,2393.612184219281,28724.402504215243,28415.904374131114,33.19672577909542,5319.237608548399,9999.999999909574,966.6622490291082,1.0000000085407113e-08,5.1438185629645835e-05,0.00038946645274935714,0.13337248740744242,0.02792440012915107
76,-102.39547954527447,824086.7496568077,54368.44071629355,53002.69694247106,16631.669004475,2467.8016767203676,30411.732937353518,17719.16514492556,96.39363623756013,3957.495697579735,9999.999999980646,976.6679012033676,3.464756236359366e-05,3.6180645606016614e-05,0.00041321956430482443,0.12937736458302618,0.019828835124902695
77,-173.79501924286723,811976.4657045305,50714.24343113299,49297.245804979444,16674.51808549438,2412.1018637801053,30023.719665532277,22601.49798092418,102.52254202581447,5575.052969049404,1134.4321839516879,911.4586179758015,1.0000000718242754e-08,4.774949765923203e-05,0.00035112896079729337,0.11583720867123053,0.022203834653297554
78,-141.13862377779287,802346.6702128041,51666.39024729206,50109.79912805401,16832.89376959904,2188.717577798041,29083.04095592805,17803.49722473293,104.14227909854944,4130.693606755336,9999.999999945741,910.7586389176652,1.5350406190681e-05,7.093623806811481e-05,0.00038080098332141603,0.16006398773091515,0.01771472957809549
79,-118.39522952158262,856932.1902820254,52697.574364851745,51435.8665953931,15949.912237148912,2446.459920949869,30255.590780975304,26637.779802506702,100.05693225930347,3961.0680747080864,4578.826702389834,896.4377919780436,1.6805651794153124e-05,4.89987385493772e-05,0.00039084783599775734,0.11798095716611345,0.023931414034075338
80,-181.28997826038622,828907.0964864875,51631.59166056929,50218.78774886609,16403.201551372957,2370.152804082634,29835.681991229176,17231.809558941794,98.1994377778343,6096.163065050442,3079.7394802010276,963.5611782233993,1.6150950130957022e-06,5.628366370198682e-05,0.00033884322459881786,0.11278022254725383,0.022472953897320503
81,-165.9010768056254,799068.5451237021,51440.490611007706,49685.182255930056,16787.034450873587,2494.1009105130033,29104.872108637766,24629.82072135204,144.2665021931447,5138.889253383641,5131.041811250491,914.2687094925232,1.0000000122296503e-08,4.3684842636835515e-05,0.0003201551257587608,0.10324373527055523,0.021415829442509717
82,-145.73807436549686,803661.7476457495,50426.96543930395,48291.01339629176,17397.40882402925,2254.7584994848403,28326.001508661782,18033.78523581565,140.6129777335567,4936.299558578099,2410.004169146202,1072.386299389845,3.081172823154918e-05,4.163326121316842e-05,0.0002814247983350687,0.16095065052257887,0.02390943524066063
83,-116.4856142465903,822528.8958433822,53186.51712135644,50997.44176902959,16928.911781701907,2214.493785720702,31028.46514647872,13929.12086527276,141.9297732237508,3910.742663488899,3136.7978083368685,864.5174927413492,3.4182501716249084e-05,7.419523776468194e-05,0.000415381329984658,0.1598454529098865,0.021579221301317248
84,-136.9880397413898,823125.1865218914,51108.16713044556,49453.63506150162,16826.775259078004,2220.3886492730776,27845.799288290393,18870.526873655017,120.50474318520945,5406.694403399101,935.9851692161567,1070.342941815948,1.2160804140538985e-05,3.1935471452180035e-05,0.00038555666663993727,0.15156151878533708,0.022519969886817433
85,-147.4141529478204,825864.6270109043,54035.28884981445,52676.84068729589,16896.817972365017,2353.7734930517468,28118.38766758588,44604.20550519725,105.71729972429905,5253.638476825543,9999.999999907408,1077.0972354923806,1.0079947541848643e-06,3.021979045427125e-05,0.000314543153852713,0.1532689345809961,0.023302910814984673
86,-147.37845349709514,778024.8855256708,49938.21101081462,48000.00000037199,16992.80384883956,2333.484218202401,27329.117912938615,48632.32119511319,137.47797164973863,4777.52375613139,737.4441751904918,1068.3032521455748,1.0000000153154238e-08,3.124866791145518e-05,0.0002871763188217181,0.11475928305785062,0.022525389520594474
87,-131.0012738661626,855374.8860941951,53312.01789040747,52982.89875361297,16136.00049953425,2344.690557569272,31585.719363150707,19442.60249873805,24.362491265236972,3969.3322972202723,9999.999999934123,868.1428444269746,1.0000000454182284e-08,7.423256383960606e-05,0.000344241562732231,0.13563114023968112,0.021315110122172687
88,-155.07667530028363,737531.6365415624,51025.8774362672,50564.3534383111,17652.379518229984,2316.9927898271953,28163.658861686727,18389.30914230053,33.8515654320534,4257.467048186485,9999.999999934194,950.6186707839679,7.063989182190528e-06,6.428964954152879e-05,0.00032169324561906226,0.11289752861626559,0.017992014558862436
