sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
43,-135.25636337480552,803816.0866207666,50223.62665803677,48021.82494570732,16812.626581453475,2380.245393890583,29800.720561589795,18346.34300851152,135.38699909009696,3331.817222866121,9999.999999911919,1033.8601408250522,5.4804168702521014e-05,2.642827794090635e-05,0.0002866939036582016,0.12630612471167574,0.01752050500974019
44,-202.22162368985227,849840.3792082157,52544.884781131426,51359.48937556522,16339.306251715134,2272.6180367345014,30428.991498022817,22426.18111694178,90.70052215623704,5209.264196231388,8273.951245405882,978.541655125154,1.000000000529548e-08,5.457836272595493e-05,0.0003364145137377626,0.14672486325077397,0.02295678446838878
45,-116.85949389667934,783909.6531341479,54305.64150123545,53074.485470620675,16937.25100245403,2493.5612827142872,28932.759582396793,21730.793847177894,110.43638053286648,3904.894950839936,9999.999999956879,824.2730203129128,5.910092099203967e-06,6.925270557758495e-05,0.00047010734427586074,0.09934975060317769,0.009526469979929782
46,-162.57530877705744,798455.5588440585,51787.586949393575,49878.250241007554,16906.840456723898,2594.9908667012155,29090.65920852102,22826.928600212985,119.12291316480938,4801.145287156044,2714.491605189957,1194.0474589091457,4.7640745879215885e-05,2.5631855954875567e-05,0.0003032914926121314,0.10403446169376035,0.021228493194406395
47,-145.00621901654247,827381.1944721243,52881.295204587674,50294.397465511895,16362.599204506145,2384.9809130546955,29797.161450193908,34621.146085426444,196.5184372263831,4315.37576055086,5945.807830047363,1022.9221135852683,1.0000000069282731e-08,3.344387465055224e-05,0.0003420630376631623,0.12653406141893053,0.021353460509252513
48,-132.70751606342066,840502.1479506603,53427.1464635557,52527.544221308526,16072.46840533319,2314.6476396459952,30195.537430770986,24316.297671608103,69.85062148283,4005.5983930402695,9999.999999931742,1060.4816875984843,1.67702419566617e-05,3.4094471888051084e-05,0.0003482237524642041,0.13930429516232445,0.027429242130860263
49,-146.80416031354028,819844.8783186824,53624.8172557234,51673.02186810383,16245.384107822849,2482.573120120837,29017.945294150482,30055.670794604375,143.4009151280374,4200.174329238154,9999.999999989333,908.2350868804854,1.0000000609491587e-08,5.456715507655982e-05,0.00037152119024562463,0.11233415926915279,0.024368996209757052
50,-106.84267783968406,787993.3624681192,53980.540661399835,51282.0676759837,16871.518274144848,2462.934637705208,31348.757242385385,12599.307321762428,160.49345472195336,3774.332428554747,9999.9999999942,900.2110135968313,7.459551628741186e-05,5.8575287041501585e-05,0.00046628674014724054,0.12415127326271957,0.03230646600535466
51,-161.08575240684536,800116.8178644592,56138.293039972654,53979.67365577863,16915.502037606235,2438.60690803271,28812.067789669756,30760.408117641124,163.70689769316382,4982.9059496425725,9999.999999943982,855.3982395503974,3.916545674178808e-06,5.627999345211693e-05,0.00044225204613049923,0.13884273887045698,0.03762984904661665
52,-224.04980128071142,762138.2314507187,54612.17540561521,53611.32526646825,17503.06810989915,2561.8947618187813,27829.09841094667,25811.69690175218,82.90121190855793,4545.756264636072,9999.999999908847,1074.4934662696644,1.0000000081222478e-08,4.5375262694905486e-05,0.0003750036799225316,0.10565750364673251,0.018435554595736238
53,-147.24430399683246,784544.8861130096,52961.38898482506,51695.7797801055,16992.63357439029,2471.3004962777527,28973.930044023895,20009.974387353344,97.21605449506589,5099.515120238335,9999.999999964108,967.2542377843272,2.7644706836443094e-05,4.0849370866054014e-05,0.0004326689732907208,0.1105761850271029,0.01568331584113272
54,-115.30921627768983,812410.0238535266,52604.39175726639,50787.365507509676,16357.28108892808,2502.739140367325,33373.12639571861,10130.246895476963,105.75481621065872,3746.5132466155965,9999.99999999999,857.2455418540271,8.306331514823019e-05,7.167538608512814e-05,0.00043531743533317506,0.1134874410087204,0.025924714068030496
55,-159.63436267108034,755826.0501595718,52750.57905055582,51201.531670081014,17522.083239957577,2494.9488591773593,29044.3842860058,18971.47335212173,107.94769749281828,4819.687885976995,5097.090550732762,873.9291904125654,2.3968592634973717e-05,6.84937089905479e-05,0.00045190303428794474,0.1260631195174542,0.027231299547706953
