ll0,ll1,D_naive,p_naive,adj0,D_adj0,p_adj0,adj1,D_adj1,p_adj1,N_A_simple,T_XY_simple,N_X_Y_simple,N_A_complex,T_XY_complex,N_X_complex,N_Y_complex
-692.9300495874575,-0.821104998065312,1384.2178891787844,0.0,0.0026940589734842,3.729164625599578,0.0534701294937381,0.0704734491958019,97.55060908896128,0.0,14785.12850108919,4289.493652585741,15662.7096259458,15599.394814344165,5127.8933337038825,14641.152510239976,31940.63185223985
-531.1787955727457,-0.9209605563518998,1060.5156700327875,0.0,0.0031172483250736,3.305890696124106,0.0690319122644209,0.0700828897834954,74.32400281657767,0.0,14098.391534913491,4900.935462702469,19848.911077191013,14999.975168684769,5011.70279468105,15104.44474627706,32143.25884586413
-277.19725549220846,-2.7419717630823808,548.9105674582521,0.0,0.0058503628386612,3.211325985606199,0.0731301956455445,0.0724159618674305,39.74988672168642,2.8865732026872587e-10,14986.876972718648,4930.74924902254,20528.579111066963,15110.232221355203,5134.649555834077,16958.262977558406,28033.68114934624
-688.0055811010533,-2.443084682455913,1371.124992837195,0.0,0.0022763417560942,3.1211490740197565,0.0772822685263456,0.0714792537854158,98.00699133453637,0.0,14538.248745327974,4973.666375478515,18158.9436975945,14970.403964348883,5085.371088576233,14558.25910469743,28638.065934096656
-362.2974511755963,-1.284914321269339,722.0250737086538,0.0,0.0051719270470999,3.734261007398108,0.0533072422860579,0.0726440786095337,52.45084621254585,4.412026299860372e-13,14503.52896744848,4871.612948364437,20181.403414577275,14899.53051851464,5180.361310604572,16084.239996399225,27783.2130031852
-424.5268349030108,-1.051211115916993,846.9512475741876,0.0,0.0054547018785485,4.619866561181943,0.0316036966733279,0.0708051588131956,59.96851759152454,9.658940314238862e-15,15566.313750025922,4176.994450060351,19721.867938447576,15477.067284122732,4708.075457910389,13962.71728371938,28753.498636928347
-525.7547506163398,-2.198544991916761,1047.1124112488462,0.0,0.0050281719939811,5.265061300791475,0.0217576564747857,0.0738686691441439,77.34880026326776,0.0,15079.907956116538,4246.264650247421,18684.878428622724,15511.914386067176,4577.795191958261,13656.863337136783,30494.580624527964
-532.2899392822321,-1.369967835330016,1061.8399428938042,0.0,0.0025687564613655,2.72760821424449,0.0986268874633624,0.0708414040886771,75.22223247203787,0.0,15039.740367445092,4891.967264680693,19833.131140386115,15285.29267627744,5068.294840771837,16064.56479218999,29064.176894761396
-668.5450813131392,-1.0188276871307305,1335.052507252017,0.0,0.0031045118040587,4.144686267802138,0.0417653940987745,0.0707385208284878,94.43963959137174,0.0,15474.9930459984,4676.790972072063,21323.748801967944,15628.676386301104,4950.630676106531,14163.79960071706,31715.108338345515
-362.072290050444,-1.035645843788237,722.0732884133114,0.0,0.0035111026514166,2.535273437465122,0.1113275993213616,0.0678243523210293,48.97415311494864,2.5935920078268278e-12,15152.274859948157,4817.690311157826,19136.73649863435,15236.003661947065,4831.577795017427,15596.631281834929,27344.865545484
-554.1341332172591,-1.0100323756271958,1106.2482016832637,0.0,0.0025080343818595,2.774508524691877,0.0957760511903028,0.069510890301378,76.89629739330204,0.0,14643.620977549885,5108.177599316689,19804.874941829086,15262.634109377525,4956.816561506534,14995.12967814193,29232.0085292972
-552.764846462921,-1.3474638270388777,1102.8347652717644,0.0,0.0033498218774549,3.694300023925248,0.0545986869514992,0.069797426786942,76.97502878715036,0.0,14647.42861763368,4493.384632624883,17326.18488929072,15434.941446125336,5294.379312278014,15443.576903778378,32770.44448994429
-491.1342998121904,-1.6877698272457653,978.8930599698894,0.0,0.003592156994298,3.5163375520406555,0.0607665888167523,0.0715724676717411,70.06179188878664,1.1102230246251563e-16,15155.115618144013,5368.479241972254,23807.53718097749,15362.639688310186,4945.854646601822,15850.873987549028,31657.31619484529
-519.8457201077549,-1.3238347648739557,1037.043770685762,0.0,0.0058724090160699,6.089945189034224,0.0135953304248398,0.0672166115480653,69.7065682925258,1.1102230246251563e-16,14941.967553533994,4045.123076298906,19475.157333891915,15256.459664553646,4694.56681761615,13799.468317150247,32521.256677100235
