ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,m_AltDen,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-32.174741731454446,785463.0278379094,750817.096018183,338331.8329983868,0.1283426077412254,16151.908442458483,27674.27056343773,1177.795113524932,3393.3345568811064,2269.149287059438,7.139442798565306e-06,41,789624.7713224157,618280.9850684887,0.0812098393150041,65624.80709208865
-33.81101482589943,777031.0474027877,696421.8191365944,267609.02992827824,0.0664011758283752,16062.655814754977,28150.72104053006,3003.105148136215,3431.833061312037,2340.434185136064,5.974742126466916e-06,42,967528.6883890438,696421.8191364806,0.0771324086924786,99999.99999998244
-37.20019529372854,736066.4881348363,713515.0595969325,411715.67918364657,0.1687471264894404,16922.04250252407,26278.130193746834,737.4801658887566,3395.10577631508,2456.2352465032345,7.340793620652388e-06,43,736066.4881348376,709820.3649050664,0.095343275199573,1402.867494865561
-33.83066960764563,768266.0591366959,723579.8902456837,306652.731689704,0.1144193434058923,16386.653661549743,27295.72070345341,1824.022430309623,3318.3035350834825,2045.2049403283595,8.588941916241338e-06,44,3999999.999999999,698753.8067069091,0.0005345124239488,13828.01514657974
-35.00584899553176,784642.042948144,727310.1399871092,249835.73136521064,0.0809491526524422,16056.359832551812,28008.096799495182,2031.7622433146416,3706.001169153852,2449.2168449579613,5.220481913321735e-07,45,3999999.6185417385,197152.12624747155,0.0016147856084762,99999.99999999984
-33.31159489644823,770783.8480544758,707275.1788632339,340136.9488584177,0.1169004155459696,16318.674663681044,27468.969487631035,2497.0737744392163,3434.178023351821,2338.6945512734974,6.7841108747438044e-06,46,2554473.65173933,707275.1788629801,0.0020634491031003,99999.9999958167
-35.1902431778816,751917.0474192007,697098.85362324,291156.4832559747,0.091228838036348,16552.706569467995,27098.338204498712,1550.477971807739,3640.5226366820502,2474.587391499346,3.162626821730701e-06,47,793629.8391760879,697098.8525853223,0.1999999598591086,99999.9999946404
-31.950718868705337,780539.042070001,738965.6699703555,306329.024490062,0.0944815986437584,16109.017829116414,27907.677809732493,1510.42181773992,3456.0521023906967,2274.3118802821905,7.095147905674255e-06,48,902599.3631861322,738965.6697091518,0.0679223383401998,99999.99999998863
-37.83567991523431,755499.6299180991,748435.8546135774,473887.9273504503,0.1999999969024992,16620.80627603684,26836.509956848717,213.52293482922272,3580.5702128693856,2714.796532919592,6.489938294303847e-06,49,755499.630030437,748435.854320808,0.0769750341160361,100.00000000000004
-39.39222180675432,767482.1914129298,757459.8192228728,480491.23632921965,0.1999999999999995,16437.984771639232,27170.57572782608,297.1662746139048,3732.2473330876646,2841.540003234092,5.268689545293813e-06,50,767482.1914858934,756911.8449522911,0.0637797950362391,100.00000000537734
-34.65042252969833,749792.9076566462,706653.6162106962,296367.0798593486,0.0736411043135,16483.860250906793,27360.01045871545,1687.9795593202389,3429.772155180029,2406.459099235742,6.466585583091443e-06,51,1099479.0025954016,706653.6162104879,0.040403077613598,99999.99999999524
