model,rep,ll
model_5,82,-492.49476443341547
model_5,83,-334.6483114458728
model_5,84,-286.49176338179666
model_5,85,-424.3896639518602
model_5,86,-287.5550839128573
model_5,87,-285.4279133775299
model_5,88,-413.04668482077363
model_5,89,-338.04240299529226
model_5,90,-396.2968610029816
model_5,91,-405.12332903996855
model_5,92,-295.5882035720691
model_5,93,-373.48341420508166
model_5,94,-336.00122006007587
model_5,95,-399.5064538971976
model_5,96,-323.3918773820858
model_5,97,-404.56543700289933
model_5,98,-327.1066966589188
model_5,99,-240.7355218801349
model_6,0,-291.43230688146787
model_6,1,-356.87410627309544
model_6,2,-370.93462537245773
model_6,3,-296.81906439853486
model_6,4,-430.8387885173074
model_6,5,-388.5358338314716
model_6,6,-387.9478404866194
model_6,7,-435.6066174013067
model_6,8,-336.59195099422936
model_6,9,-280.3960693655084
model_6,10,-390.88155882485125
model_6,11,-327.2332462764225
model_6,12,-251.99191603886513
model_6,13,-326.27003243238914
model_6,14,-386.76903339956823
model_6,15,-451.05546119596806
model_6,16,-349.9548057834378
model_6,17,-399.021874348088
model_6,18,-313.9910459084564
model_6,19,-440.91005115959365
model_6,20,-403.8912359944396
model_6,21,-309.705952814978
model_6,22,-431.1293837561566
model_6,23,-368.54642643356067
model_6,24,-375.26322082493994
model_6,25,-337.9437530414699
model_6,26,-523.9250404651157
model_6,27,-367.8910962989946
model_6,28,-363.9437689959023
model_6,29,-393.1185530784458
model_6,30,-303.52116567433904
model_6,31,-412.80163050018956
model_6,32,-550.3056563865673
model_6,33,-615.1941282105927
model_6,34,-351.2549965038868
model_6,35,-341.6631860837178
model_6,36,-410.3645998038472
model_6,37,-330.00677293905676
model_6,38,-397.7412559597424
model_6,39,-525.0177467545038
model_6,40,-387.299245886999
model_6,41,-345.4633587413695
model_6,42,-468.48314390572705
model_6,43,-335.55749138324177
model_6,44,-329.60644921495765
model_6,45,-311.7070162410097
model_6,46,-277.14155312935
model_6,47,-416.28652964947685
model_6,48,-427.19598031967183
model_6,49,-276.4199486502506
model_6,50,-284.74111586483536
model_6,51,-349.3194714988371
model_6,52,-369.6388346836867
model_6,53,-354.9203856617987
model_6,54,-297.0085033599787
model_6,55,-344.93171006395505
model_6,56,-293.47196369658116
model_6,57,-325.8282641140861
model_6,58,-369.8029995370389
model_6,59,-438.54097801377395
model_6,60,-346.3110448597016
model_6,61,-232.76686768655816
model_6,62,-401.1055989810428
model_6,63,-400.43577134596273
model_6,64,-314.8529281528182
model_6,65,-432.34024004504
model_6,66,-364.86583813233636
model_6,67,-310.3183268504728
model_6,68,-337.24004956012925
model_6,69,-335.9698403372117
model_6,70,-351.82543425330016
model_6,71,-428.62001708151473
model_6,72,-236.91086030410204
model_6,73,-318.1195656221179
model_6,74,-351.76478938575195
model_6,75,-331.6149123231611
model_6,76,-386.16387674772693
model_6,77,-232.56781574022773
model_6,78,-337.71461481307654
model_6,79,-370.8207720993059
model_6,80,-374.6573474718127
model_6,81,-362.83408850467345
model_6,82,-498.6298203329537
model_6,83,-327.61636280176316
model_6,84,-282.2889246909266
model_6,85,-425.3146695036024
model_6,86,-298.40055760230416
model_6,87,-303.4365860787796
model_6,88,-410.1531312204332
model_6,89,-326.0609131824049
model_6,90,-398.00793799429744
model_6,91,-406.8192175313376
model_6,92,-296.24711309357895
model_6,93,-373.3204453018038
model_6,94,-336.3987090636578
model_6,95,-400.6651131092631
model_6,96,-322.38897902885014
model_6,97,-400.49489274493703
model_6,98,-339.4682987609804
model_6,99,-243.870980894664
model_7,0,-300.217849231647
model_7,1,-355.35263843390464
model_7,2,-367.82593238536816
model_7,3,-307.3581651221633
model_7,4,-424.75746056442915
model_7,5,-378.01539925406803
model_7,6,-398.0886595139623
model_7,7,-440.8366385865588
model_7,8,-346.8938764477505
model_7,9,-285.66153442013365
model_7,10,-388.8164446379146
model_7,11,-329.8585581933248
model_7,12,-251.56043049060617
model_7,13,-326.2238938667097
model_7,14,-391.17003412598706
model_7,15,-434.93896001034796
model_7,16,-348.371107529169
model_7,17,-404.00685022840446
model_7,18,-312.0672037751148
model_7,19,-440.68056558805625
model_7,20,-406.10460789159106
