T_NDH,T_ND,T_H_N,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_ND,p_S_D,p_H_N,p_H_WN,m_ND
740972.069235207,723177.0606672895,237273.95588978904,119589.9647225565,60230.49011139049,15990.181133842418,28639.33772461473,771.2380468201364,3291.9562192521817,2864.6228251022503,241.99070109373707,203.45863374717683,733.241475465637,0.016030035495421518,0.01020716581637982,0.053788720157977234,0.01636247963177002,2.871356212818542e-06
811206.3385232963,747024.2846357508,367105.45551240415,118061.55187077115,58872.273654216166,14840.133675981253,30346.20096745224,3086.314793716973,3339.277124590835,2825.0036783618143,210.83473077073424,156.99195169937371,818.754675803845,0.02347071353430528,0.005170089841367021,0.12034208901842135,0.013010701523741315,4.805820192347898e-06
713447.2336439269,687872.3715234598,240135.21762684613,130386.95513123606,62471.02285848808,16368.798066211986,28419.551548315583,851.9314112399195,4049.9951182178684,3012.3342168611707,1208.9514003312433,340.14437440325423,872.1732722797623,0.022554494333676012,0.009708798336344967,0.05956792046688556,0.012834337125199175,7.592748301327845e-08
848439.7922884419,836465.6899233022,334578.1240197877,125754.13028248436,58800.20064958697,14848.160841837735,29819.95374179924,641.0121169558485,3271.780848486545,2882.3725338058885,614.2565499194328,135.071833159998,670.6503856373215,0.004970355575357942,0.004164656058902676,0.09310904834976985,0.011925366782893583,5.246289001081424e-06
762769.1453963582,718330.5085740426,452165.63173679955,125515.40940609665,63138.31109570047,15907.244441282975,28686.537632344847,2240.3042251641164,3123.21548646547,3015.0013067919363,525.7020224924082,366.57388782221363,1015.8696808731833,0.014732452185938582,0.004945450499962279,0.15,0.009711878157691308,5.618698275888438e-06
765100.1207099193,682384.2137086361,315525.86214323767,129964.37703580651,64614.67057451191,16182.429291603541,26716.325885742153,3178.640836431975,3781.989037096487,2960.0610100378703,927.9761188546444,441.43064046244604,1000.5241538314235,0.0011359020368998515,0.006059740679404264,0.08446494393178808,0.013379468344259573,2.0327424406937795e-06
778235.600457954,719951.4260083407,386261.35748566187,129012.69680292501,60565.96076916559,15703.836807805581,29582.11206047819,2553.024199119259,3330.3007713284164,2766.0001404925783,1191.8355783438628,214.69634164449053,890.0106143389592,0.023170191199006072,0.0008327961045309466,0.12708911614719234,0.020136961185658674,4.315777669141414e-06
734543.8487447171,697943.8794403102,250688.63540074372,121216.79147291863,58423.23794849403,16328.000688392429,27424.02173950523,1805.952331166499,3358.758079715922,2848.6505810320264,376.10243125474875,132.14863366577623,709.0286351436001,1.0000002028067862e-06,0.014803130322614216,0.04983449860923308,0.014897088932016675,3.7646268177595786e-06
779374.9851110184,704569.9333988312,360766.79026227986,124780.54376730167,59214.648685790664,15550.676391323228,28221.89782901266,3195.164307219416,3329.6292900060425,2796.95350791421,570.629517156124,180.12281278913423,1041.7998014098719,0.02341097708816894,0.0027322556189759623,0.11389499138340155,0.01775049199763068,3.805334047803175e-06
827515.3434673168,809928.7968209878,344707.52054917417,123822.38480818743,63358.85042320079,15155.815215835795,28866.778960450458,846.4763087953763,3260.597254112918,2708.205678065799,505.3403311339309,472.4863720439577,1025.7543969517428,0.012286934814731556,0.0005635586033590586,0.11692681180101801,0.014411993298522921,4.942259384871998e-06
