T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_H_N,p_H_N,p_H_WN
778031.7056610989,738270.3845491013,119690.09606272794,59570.14493068011,15863.185255155817,26632.33889591429,2378.97871574394,3159.0948312517467,2896.4891369444435,164.84839528507402,189.9283097775207,684.8447468072363,4.692600872308109e-06,367852.49484139273,0.09918244399859898,0.01121639251572298
778027.1562107385,731639.1833629739,118413.72087699505,58919.72903693913,16034.404916848114,28221.239437338434,2179.1665175430157,3180.0285818244934,2794.652886422488,194.27766495511986,135.50191251224302,698.6483359479475,4.756066714026151e-06,395228.8130388514,0.1577580440376164,0.015020575678943323
790468.6330379546,749439.6459413588,116777.03615756216,58368.500501418595,15959.911737594259,27666.115493646652,2110.8158890538894,3263.1597059488154,2725.883632573118,83.06550970040433,133.2127601366022,807.9006529136565,4.649492544612095e-06,325927.6470040806,0.125453943781395,0.013516446596763713
754769.956674144,722108.2074482815,118425.83253765276,59645.24929823771,16342.819633665316,27315.44002040444,1684.18083183312,3297.560145745534,2933.397931778478,153.14364138313283,168.5485872945403,772.7580077768246,4.035747653504203e-06,320645.0776478474,0.09392608448489444,0.01073439416592735
783232.7704632989,742280.4620295005,119096.669245954,62124.57040034611,15540.615654698353,27269.116327484717,1936.1328606080576,3257.3390593476292,2552.262840581507,228.8842052464769,294.26160885644885,925.9718727171822,4.390338851779204e-06,327518.2120703688,0.1305577261585102,0.018684573908099845
754179.2839706435,730581.4959764647,118645.02322014357,59229.393642167626,16692.706534428406,26252.930424393253,1238.4164113127192,3114.466707122112,2703.5618232310926,194.20291041366997,204.60685708478732,802.7662385277134,6.093834596403265e-06,404348.8919708695,0.19999999999971266,0.01437546526811685
756701.3015909486,725055.8571384024,129388.93293374605,62160.8904845786,16479.47147794285,28053.809845471755,1182.3737006762722,3703.935099026666,3030.048493024726,919.7893860581933,334.27943593625866,824.8327503992383,2.2219172405754667e-06,418890.2847179798,0.1488062723988096,0.01430427726113687
746410.9098900635,736279.8749112042,125432.30213085681,59029.57421980866,16823.070417195275,27598.021859973902,441.5391032260899,3783.615248241509,2992.976030235269,734.3137976834803,164.54270365613294,836.9949042742586,3.193899729933029e-06,311231.6999700843,0.08734830950343254,0.011573588160858225
766415.684208576,733730.7523680993,119857.51654406366,59109.11930860798,16340.380292623098,27584.202892642257,1377.5836710465067,3599.4518609357356,2805.8265565963216,198.38445232956218,189.68140862136278,806.0849033706725,3.153953779526769e-06,277628.8664276745,0.09239731350127578,0.010649655796923783
798287.5852542819,777528.1926103785,121487.36145608926,60904.919552837324,16123.97484566636,28676.379097905716,1145.6541020966615,3423.9786614711816,2973.773366303221,430.43565825316995,262.66483106309545,843.0177543077791,4.157875676593659e-06,313616.692548859,0.07574606943421819,0.01179135020114892
780644.6815550629,737539.525699674,127841.89459978073,63515.91319390209,16148.283464365579,27423.875068143592,1674.1158582361463,3757.8627144886423,2887.566778791206,929.9135612769547,417.68540032528284,868.3913515489012,2.1629296644407135e-06,348626.6544537565,0.11765900447946305,0.01532524228197987
760446.1926838314,730220.850070034,119295.71878539873,62196.61478787541,16261.1020568506,27187.22977070413,1533.1373907220386,3385.45098203772,2672.163522295591,297.00777383568783,343.7501345695806,1054.1741513417678,4.287274925239472e-06,298937.9466206682,0.09576839329738035,0.014530650159384595
772191.774113738,731298.717048259,117901.7512191977,60095.30854081999,16272.558390350901,28480.61753735556,1875.4224554407356,3476.903323748347,2807.2098474743484,122.0490251663397,203.79803962201896,603.934059251659,4.158708002517123e-06,353128.948886877,0.1328396851741557,0.012518874752458404
801665.6827071008,768333.5796727883,128497.50083158199,61306.10388153257,15642.98582854509,28219.763169020654,1299.5234611319006,3516.8094887171947,2939.313723026065,695.2146969334685,240.3888463431054,837.1252522768523,3.5568659407645903e-06,408319.3699042358,0.15509600788042138,0.01442634632825772
772500.754251073,739868.5182136599,122003.59340116994,60236.88185355291,16275.248857320561,27819.855545481656,1776.022116109224,3217.3135934838947,2816.2697548759547,317.28356742120536,185.9719762645668,768.1884873242077,4.705012292807457e-06,316691.5266159078,0.09600019634697513,0.013085653189933386
788659.9133203606,765629.6436440826,128396.55357567318,63395.09341232953,16011.138991191834,27917.230859212494,1105.9173371696195,3447.5288044941813,3004.725665365549,683.1577855053627,371.5282604662154,1110.5280292110256,4.925807996776437e-06,499999.9999943696,0.18125664385191972,0.011569095524712338
757907.0748783872,731153.4924880775,122157.26229584539,59187.73193207797,16421.26076989233,26034.892102755402,1455.0631979005784,3001.0843689626286,2905.1030128743087,366.1090857372421,179.96406254242874,688.467128227889,5.1895748432823006e-06,435385.3909473607,0.1660544809193646,0.011247763173850803
783373.615427202,744514.5275519763,122433.53345183552,58997.38601163645,16380.740781113556,28519.03330664386,1772.1600629862055,3487.6967674078364,2911.2838063073864,412.7181294340562,140.85994433020113,684.6807803549533,3.621876207342427e-06,350482.0395883915,0.10679683364853415,0.014090497166546305
779846.6056672801,699222.9658688353,132215.94638507286,59080.27689565322,16051.61418012033,27995.980842823257,2713.970965468419,4088.303594381797,3166.9346622585517,1665.7037413683026,159.41605751969377,812.4074361379661,2.998802798091687e-07,354845.77851548814,0.09678740178146476,0.014070405471898006
