data_set,model,rep,ll
ZhouJHS,model_1,96,-611.1237292345736
ZhouJHS,model_1,97,-482.2773355711781
ZhouJHS,model_1,98,-550.6396607665208
ZhouJHS,model_1,99,-628.9081553068524
ZhouJHS,model_2,0,-387.5814350583712
ZhouJHS,model_2,1,-336.86790259765536
ZhouJHS,model_2,2,-394.9572521459881
ZhouJHS,model_2,3,-453.2551098887462
ZhouJHS,model_2,4,-356.226926685041
ZhouJHS,model_2,5,-334.6982487007184
ZhouJHS,model_2,6,-470.1192091190429
ZhouJHS,model_2,7,-369.5539088630722
ZhouJHS,model_2,8,-320.5258196340019
ZhouJHS,model_2,9,-523.7678797253471
ZhouJHS,model_2,10,-445.57349174475695
ZhouJHS,model_2,11,-508.93791715161666
ZhouJHS,model_2,12,-392.7831748791792
ZhouJHS,model_2,13,-335.1830601315515
ZhouJHS,model_2,14,-310.59525430779235
ZhouJHS,model_2,15,-391.8885833685531
ZhouJHS,model_2,16,-311.19381893181605
ZhouJHS,model_2,17,-402.20461776691053
ZhouJHS,model_2,18,-292.1724826635119
ZhouJHS,model_2,19,-349.67180895456204
ZhouJHS,model_2,20,-496.2455891345099
ZhouJHS,model_2,21,-294.0109921169701
ZhouJHS,model_2,22,-347.14454754837425
ZhouJHS,model_2,23,-396.88676954788775
ZhouJHS,model_2,24,-489.7122865011696
ZhouJHS,model_2,25,-315.2194893285223
ZhouJHS,model_2,26,-327.79852016023017
ZhouJHS,model_2,27,-493.7265013603311
ZhouJHS,model_2,28,-358.9953555469657
ZhouJHS,model_2,29,-370.28094023493225
ZhouJHS,model_2,30,-385.9944329859323
ZhouJHS,model_2,31,-267.00723384998673
ZhouJHS,model_2,32,-381.4189925819849
ZhouJHS,model_2,33,-363.7969044216504
ZhouJHS,model_2,34,-357.8275336692565
ZhouJHS,model_2,35,-402.61451362022007
ZhouJHS,model_2,36,-349.64638488201507
ZhouJHS,model_2,37,-324.1572184189412
ZhouJHS,model_2,38,-435.5593309577388
ZhouJHS,model_2,39,-375.4939069885211
ZhouJHS,model_2,40,-335.3295072200898
ZhouJHS,model_2,41,-475.87438325556326
ZhouJHS,model_2,42,-443.47995381338035
ZhouJHS,model_2,43,-374.2545589441892
ZhouJHS,model_2,44,-480.3008172370786
ZhouJHS,model_2,45,-474.8738438296299
ZhouJHS,model_2,46,-410.5491357129058
ZhouJHS,model_2,47,-485.57521973776045
ZhouJHS,model_2,48,-407.1955899805596
ZhouJHS,model_2,49,-393.02902906717827
ZhouJHS,model_2,50,-438.0772905526494
ZhouJHS,model_2,51,-504.36516276857446
