ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-432.47699412904615,743779.2267089578,527197.9805821425,129595.77822428316,86834.3868684256,16579.280581763913,27014.846563270206,11294.99550124034,2907.8683054333683,3350.339531845326,568.6794875325282,350.8292468427391,1523.7965616589872,1.940060079805261e-05
-415.0334368732966,750065.4434199275,502754.2828426285,130640.13013019464,85405.32979666824,16111.555069253684,26333.506082227323,12896.309593531834,2845.598500851251,3270.0713055900887,747.0433400492897,318.2719522101439,1486.981215180925,9.605481210581076e-06
-454.0289879688094,759873.637955219,515526.8063858622,130434.56187625312,83399.66261237895,16494.000746673923,28601.53426706028,12724.006675871882,2946.350756420264,3418.300023285419,778.6430496384427,168.58052836770904,1388.7829428411926,1.4357103449948669e-05
-367.3752222909067,724354.5238641442,500075.9688387528,126071.63968447746,86102.71636966603,16873.306695298128,28582.97796991289,11577.378062039596,2925.098082121096,3265.181160594234,515.6481437541933,293.7071449164844,1358.2359334764503,1.445723123723589e-05
-330.7256948898105,738885.4016395474,515238.8145837881,131113.50221644327,83805.63335724562,16446.63006390184,28480.30840849119,11654.485275267456,2869.6707856274134,3324.757357678958,667.3039085790232,189.4092727439377,1421.0033549065397,1.5781743898103985e-05
-370.4299055679006,764674.5336220193,468618.64197880577,124008.43774757856,85876.92772258676,15983.51797689548,28549.11848913725,15157.715762402922,2663.555752678411,3083.043948845305,492.7521221798182,313.41581632158875,1414.2502387977968,2.4501773226278085e-05
-407.4186905245008,733263.8104276399,501048.1637336447,133832.01472478206,85442.75435955224,16445.92937605435,26819.26402866262,11827.379158168951,2820.0627887210744,3280.7437953998,974.081236076557,341.8639540935952,1652.5732906504454,7.559382193627258e-06
-465.4453862223983,777764.2934437859,501029.37587539415,130358.04789883352,84222.8536252526,16015.23577735375,28807.69202495608,14135.219131725906,2885.199682961282,3256.7740342640186,662.3353516690137,177.1874857023715,1468.7158734851614,1.2112313215120176e-05
-422.11713896379433,740518.160441018,509046.45584109647,128145.43678282088,85408.86695682176,16693.659535048468,27302.32618981816,11920.422649365784,2994.4054620717075,3348.255270613868,661.6027222221952,281.86084698705173,1357.6330907048905,1.5162210160047862e-05
-344.32755283930186,703346.0338604946,491297.4131754039,126933.11066692507,86895.78039350083,16882.218411572838,27264.85346869162,11699.945340166416,2778.6382744687594,3194.633494274733,551.5669059350039,353.6516832186439,1503.4905109537074,1.9656188678728172e-05
-419.1204083556143,749973.2569137894,483267.8326855408,129794.73421385082,87214.18449088064,16303.234048444918,27608.993186359497,15010.950131178715,2566.3346944571986,3099.610593092376,534.9858582348512,357.9821657558939,1386.7213902145877,1.900671140477589e-05
-357.78742099559383,703563.4566255072,496831.3716735864,126569.67553562197,85940.3046405674,17213.49728814938,27902.667570556463,10809.16394798246,3003.635436958554,3225.307632583894,538.2440650500422,302.1440769905668,1536.7915154098937,1.7801456135001302e-05
-344.2471712011478,744132.4537557435,539261.3040086402,126622.23262544857,83694.58719953978,15989.180161628943,27192.800936590396,11104.204417000396,2912.579053298469,3449.873798276368,545.6967144342894,167.59705414453032,1376.6503257941567,1.903502426428593e-05
-663.6618656325916,753446.0350061167,506132.43954983394,134115.4956790671,82200.79731328078,16552.284917341218,27423.307841533617,12785.793999396708,2732.1567384715618,3241.8132868264443,978.0737324782824,92.79294266125888,1647.32524040176,8.44224648014104e-06
-592.1121524290486,728198.8073255783,484233.7335391209,129421.3710624688,83171.40974821139,16662.044042180663,25902.858845007355,12577.692706677091,2800.956457636948,3260.8627409546043,689.9494406539544,171.93337515746356,1492.0517583115063,1.3392430041777916e-05
-436.95909013593246,744127.3909831146,457377.990733968,124465.05961902374,83547.18796329989,16537.421710845225,28736.230075263906,15671.141269605909,2602.8025711879527,3007.655923632805,370.7152171094136,214.92275087197535,1571.9291288983954,3.040450118028461e-05
