ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-390.238485777926,746716.0180367163,533787.7766792165,135952.72458156434,84842.76427856857,16342.37391608378,27814.38936095677,10913.936493421805,3075.038675060438,3461.979789488064,1130.536154564083,266.80724846315746,1631.5101848939576,7.758740419467702e-06
-383.3276197176215,813152.8967282602,528288.2489730065,123035.96572057248,85119.02599456141,15791.530353444465,29499.37147514014,14890.068305446886,2729.9935415948275,3473.295340800378,334.1593510127897,194.56407060928012,1833.871479075471,3.085256984421034e-05
-276.1339727087911,782339.2816903645,520500.58093127847,125876.49514597912,82021.382203191,15749.878724901388,28862.135435127813,13243.220379693214,2692.334341435142,3403.1786599298703,450.4141496218234,88.96303967486055,1277.3332822895277,2.0489474516448883e-05
-509.7676574110723,809375.3299847587,554148.4391428201,134263.8705526373,84664.02288860377,15585.70711186599,29218.95375392564,12584.49314780761,3060.935246244904,3495.43100197159,847.8520929211543,216.5106263645912,2195.990810919453,1.381585626934853e-05
-349.6241193317196,804259.376329345,567041.79008592,132452.57536142078,82798.73722169021,15613.064866329763,29046.663129404533,11836.465185042,3089.8626786669524,3610.2631099967502,875.6959406865399,123.32746806540428,1533.399842946434,1.1875326123955038e-05
-381.4834754256339,746201.5132242817,560834.4203113609,139710.4884071841,85097.2865535306,16513.701453846857,27995.755456437917,9129.738088364677,3097.3712027887705,3481.188371048012,945.8265200461418,226.1731975561761,1410.8057874814665,8.06808752572825e-06
-395.33492129450207,827296.4904658358,548351.3371634244,129663.11246137058,83193.62920783697,15451.76407820632,29341.16170153148,14326.431206087997,3001.281807158519,3552.4952918494214,619.4923214876885,119.75668629299687,1453.320195169159,1.650885202014552e-05
-401.6790147779459,798894.7265178437,525300.7179169881,131127.8061832407,84120.64549052091,15358.117445990783,28244.136872720945,13923.16214796575,2821.58368906804,3354.555302608584,672.7558588879346,179.00290410582303,1690.6437301987794,1.6230676042288413e-05
-412.4297974625645,771088.725951029,565317.2651177902,138604.61769195469,84182.25074772332,16115.545819726363,28836.7129449283,10170.064245513244,2978.3170054369825,3558.213260977427,970.3397529793368,175.04690216247732,1527.247056979333,9.756136723731122e-06
-390.652647073574,755332.2041855344,542991.2919669328,135927.29248128657,84686.2130035192,16324.794820017763,28048.5209158744,10724.830903351094,2930.8334179722547,3386.398444287148,903.9313391850314,246.6153958129104,1443.0097413381804,1.2683206561634397e-05
-428.865179782926,799163.5283746001,548220.3192193346,130348.51233197148,86376.36587423638,15556.133575080525,29163.495732016243,13652.612327490437,3017.4449805897943,3518.158147444323,638.1116989293869,358.59611839566134,1740.6514390933166,1.667292192350645e-05
-442.4732221040365,750876.978849912,557658.1959099438,131405.1462148164,84632.1716882446,16276.724363325751,27115.13900904836,10002.316502766078,3084.4356733633763,3592.123963135048,662.9679562400319,213.1262607235693,1395.363860207503,1.3361944393046424e-05
